,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,Marinol,,,,,,,,,,,,,,,,,,,
1,Serostim,,,,,,,,,,,,,,,,,,,
2,dronabinol,,,,,,,,,,,,,,,,,,,
3,Megace,,,,,,,,,,,,,,,,,,,
4,Norditropin FlexPro,,,,,,,,,,,,,,,,,,,
5,Megace ES,,,,,,,,,,,,,,,,,,,
6,megestrol,,,,,,,,,,,,,,,,,,,
7,somatropin,,,,,,,,,,,,,,,,,,,
8,Syndros,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,
