,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,Florinef,,,,,,,,,,,,,,,,,,,
1,fludrocortisone,,,,,,,,,,,,,,,,,,,
2,prednisone,,,,,,,,,,,,,,,,,,,
3,dexamethasone,,,,,,,,,,,,,,,,,,,
4,methylprednisolone,,,,,,,,,,,,,,,,,,,
5,Decadron,,,,,,,,,,,,,,,,,,,
6,Dexamethasone Intensol,,,,,,,,,,,,,,,,,,,
7,MethylPREDNISolone Dose Pack,,,,,,,,,,,,,,,,,,,
8,Baycadron,,,,,,,,,,,,,,,,,,,
9,Depo-Medrol,,,,,,,,,,,,,,,,,,,
10,Florinef Acetate,,,,,,,,,,,,,,,,,,,
11,Medrol Dosepak,,,,,,,,,,,,,,,,,,,
12,Solu-Medrol,,,,,,,,,,,,,,,,,,,
13,Medrol,,,,,,,,,,,,,,,,,,,
14,Dexasone,,,,,,,,,,,,,,,,,,,
15,Zema Pak,,,,,,,,,,,,,,,,,,,
16,Dexpak Taperpak,,,,,,,,,,,,,,,,,,,
17,Solurex,,,,,,,,,,,,,,,,,,,
18,Solurex LA,,,,,,,,,,,,,,,,,,,
19,De-Sone LA,,,,,,,,,,,,,,,,,,,
20,Dexacen-4,,,,,,,,,,,,,,,,,,,
21,Dexasone LA,,,,,,,,,,,,,,,,,,,
22,LoCort,,,,,,,,,,,,,,,,,,,
23,Zonacort,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,
