,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,ciprofloxacin,,,,,,,,,,,,,,,,,,,
1,Levaquin,,,,,,,,,,,,,,,,,,,
2,Cipro,,,,,,,,,,,,,,,,,,,
3,levofloxacin,,,,,,,,,,,,,,,,,,,
4,Cipro I.V.,,,,,,,,,,,,,,,,,,,
5,moxifloxacin,,,,,,,,,,,,,,,,,,,
6,penicillin g potassium,,,,,,,,,,,,,,,,,,,
7,doxycycline,,,,,,,,,,,,,,,,,,,
8,Doxy 100,,,,,,,,,,,,,,,,,,,
9,Chloromycetin,,,,,,,,,,,,,,,,,,,
10,Doryx,,,,,,,,,,,,,,,,,,,
11,Floxin,,,,,,,,,,,,,,,,,,,
12,Vibramycin,,,,,,,,,,,,,,,,,,,
13,Cipro XR,,,,,,,,,,,,,,,,,,,
14,Monodox,,,,,,,,,,,,,,,,,,,
15,Doxy 200,,,,,,,,,,,,,,,,,,,
16,Morgidox,,,,,,,,,,,,,,,,,,,
17,Ocudox,,,,,,,,,,,,,,,,,,,
18,Oraxyl,,,,,,,,,,,,,,,,,,,
19,Vibra-Tabs,,,,,,,,,,,,,,,,,,,
20,Anthrasil,,,,,,,,,,,,,,,,,,,
21,ofloxacin,,,,,,,,,,,,,,,,,,,
22,chloramphenicol,,,,,,,,,,,,,,,,,,,
23,anthrax immune globulin intravenous,,,,,,,,,,,,,,,,,,,
24,Chloromycetin Sodium Succinate,,,,,,,,,,,,,,,,,,,
25,Pfizerpen,,,,,,,,,,,,,,,,,,,
26,Anthim,,,,,,,,,,,,,,,,,,,
27,obiltoxaximab,,,,,,,,,,,,,,,,,,,
28,penicillin g sodium,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,
