,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,Celexa,,,,,,,,,,,,,,,,,,,
1,Prozac,,,,,,,,,,,,,,,,,,,
2,sertraline,,,,,,,,,,,,,,,,,,,
3,citalopram,,,,,,,,,,,,,,,,,,,
4,fluoxetine,,,,,,,,,,,,,,,,,,,
5,Paxil,,,,,,,,,,,,,,,,,,,
6,amitriptyline,,,,,,,,,,,,,,,,,,,
7,venlafaxine,,,,,,,,,,,,,,,,,,,
8,paroxetine,,,,,,,,,,,,,,,,,,,
9,Prozac Weekly,,,,,,,,,,,,,,,,,,,
10,Luvox CR,,,,,,,,,,,,,,,,,,,
11,Luvox,,,,,,,,,,,,,,,,,,,
12,prazosin,,,,,,,,,,,,,,,,,,,
13,fluvoxamine,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,
