,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,aspirin,,,,,,,,,,,,,,,,,,,
1,warfarin,,,,,,,,,,,,,,,,,,,
2,Coumadin,,,,,,,,,,,,,,,,,,,
3,Aspir 81,,,,,,,,,,,,,,,,,,,
4,dipyridamole,,,,,,,,,,,,,,,,,,,
5,Persantine,,,,,,,,,,,,,,,,,,,
6,Arthritis Pain,,,,,,,,,,,,,,,,,,,
7,Bayer Aspirin,,,,,,,,,,,,,,,,,,,
8,Aspir-Low,,,,,,,,,,,,,,,,,,,
9,Easprin,,,,,,,,,,,,,,,,,,,
10,Ecotrin,,,,,,,,,,,,,,,,,,,
11,Jantoven,,,,,,,,,,,,,,,,,,,
12,Bayer Aspirin Regimen,,,,,,,,,,,,,,,,,,,
13,Fasprin,,,,,,,,,,,,,,,,,,,
14,Halfprin,,,,,,,,,,,,,,,,,,,
15,St. Joseph Aspirin,,,,,,,,,,,,,,,,,,,
16,ZORprin,,,,,,,,,,,,,,,,,,,
17,Aspergum,,,,,,,,,,,,,,,,,,,
18,Aspiritab,,,,,,,,,,,,,,,,,,,
19,Aspirtab,,,,,,,,,,,,,,,,,,,
20,Buffasal,,,,,,,,,,,,,,,,,,,
21,Bufferin Low Dose,,,,,,,,,,,,,,,,,,,
22,Ecpirin,,,,,,,,,,,,,,,,,,,
23,Entercote,,,,,,,,,,,,,,,,,,,
24,Genacote,,,,,,,,,,,,,,,,,,,
25,Medi-Seltzer,,,,,,,,,,,,,,,,,,,
26,Norwich Aspirin,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,
