,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,Celebrex,,,,,,,,,,,,,,,,,,,
1,meloxicam,,,,,,,,,,,,,,,,,,,
2,Mobic,,,,,,,,,,,,,,,,,,,
3,Voltaren,,,,,,,,,,,,,,,,,,,
4,Voltaren Gel,,,,,,,,,,,,,,,,,,,
5,diclofenac,,,,,,,,,,,,,,,,,,,
6,naproxen,,,,,,,,,,,,,,,,,,,
7,Cymbalta,,,,,,,,,,,,,,,,,,,
8,ibuprofen,,,,,,,,,,,,,,,,,,,
9,chondroitin / glucosamine,,,,,,,,,,,,,,,,,,,
10,Aleve,,,,,,,,,,,,,,,,,,,
11,Arthrotec,,,,,,,,,,,,,,,,,,,
12,Vimovo,,,,,,,,,,,,,,,,,,,
13,Cataflam,,,,,,,,,,,,,,,,,,,
14,Lodine,,,,,,,,,,,,,,,,,,,
15,Medrol Dosepak,,,,,,,,,,,,,,,,,,,
16,Advil,,,,,,,,,,,,,,,,,,,
17,celecoxib,,,,,,,,,,,,,,,,,,,
18,Tylenol with Codeine #3,,,,,,,,,,,,,,,,,,,
19,Naprosyn,,,,,,,,,,,,,,,,,,,
20,etodolac,,,,,,,,,,,,,,,,,,,
21,nabumetone,,,,,,,,,,,,,,,,,,,
22,Relafen,,,,,,,,,,,,,,,,,,,
23,aspirin,,,,,,,,,,,,,,,,,,,
24,Motrin,,,,,,,,,,,,,,,,,,,
25,prednisone,,,,,,,,,,,,,,,,,,,
26,Ecotrin,,,,,,,,,,,,,,,,,,,
27,Indocin,,,,,,,,,,,,,,,,,,,
28,Medrol,,,,,,,,,,,,,,,,,,,
29,methylprednisolone,,,,,,,,,,,,,,,,,,,
30,Pennsaid,,,,,,,,,,,,,,,,,,,
31,Zorvolex,,,,,,,,,,,,,,,,,,,
32,Arthritis Pain,,,,,,,,,,,,,,,,,,,
33,Aspergum,,,,,,,,,,,,,,,,,,,
34,Aspiritab,,,,,,,,,,,,,,,,,,,
35,Aspirtab,,,,,,,,,,,,,,,,,,,
36,Bayer Aspirin,,,,,,,,,,,,,,,,,,,
37,Buffasal,,,,,,,,,,,,,,,,,,,
38,Bufferin Low Dose,,,,,,,,,,,,,,,,,,,
39,chondroitin / glucosamine / methylsulfonylmethane,,,,,,,,,,,,,,,,,,,
40,diclofenac / misoprostol,,,,,,,,,,,,,,,,,,,
41,duloxetine,,,,,,,,,,,,,,,,,,,
42,Easprin,,,,,,,,,,,,,,,,,,,
43,Ecpirin,,,,,,,,,,,,,,,,,,,
44,Entercote,,,,,,,,,,,,,,,,,,,
45,Fasprin,,,,,,,,,,,,,,,,,,,
46,Genacote,,,,,,,,,,,,,,,,,,,
47,Halfprin,,,,,,,,,,,,,,,,,,,
48,IBU,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,
