,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,itraconazole,,,,,,,,,,,,,,,,,,,
1,Sporanox,,,,,,,,,,,,,,,,,,,
2,amphotericin b,,,,,,,,,,,,,,,,,,,
3,Amphocin,,,,,,,,,,,,,,,,,,,
4,Sporanox PulsePak,,,,,,,,,,,,,,,,,,,
5,Fungizone,,,,,,,,,,,,,,,,,,,
6,Abelcet,,,,,,,,,,,,,,,,,,,
7,Onmel,,,,,,,,,,,,,,,,,,,
8,amphotericin b lipid complex,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,
