,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,voriconazole,,,,,,,,,,,,,,,,,,,
1,Vfend,,,,,,,,,,,,,,,,,,,
2,Sporanox,,,,,,,,,,,,,,,,,,,
3,Noxafil,,,,,,,,,,,,,,,,,,,
4,posaconazole,,,,,,,,,,,,,,,,,,,
5,AmBisome,,,,,,,,,,,,,,,,,,,
6,itraconazole,,,,,,,,,,,,,,,,,,,
7,amphotericin b,,,,,,,,,,,,,,,,,,,
8,Cancidas,,,,,,,,,,,,,,,,,,,
9,caspofungin,,,,,,,,,,,,,,,,,,,
10,Amphocin,,,,,,,,,,,,,,,,,,,
11,Fungizone,,,,,,,,,,,,,,,,,,,
12,Onmel,,,,,,,,,,,,,,,,,,,
13,Abelcet,,,,,,,,,,,,,,,,,,,
14,amphotericin b liposomal,,,,,,,,,,,,,,,,,,,
15,Sporanox PulsePak,,,,,,,,,,,,,,,,,,,
16,amphotericin b cholesteryl sulfate,,,,,,,,,,,,,,,,,,,
17,Cresemba,,,,,,,,,,,,,,,,,,,
18,isavuconazonium,,,,,,,,,,,,,,,,,,,
19,Amphotec,,,,,,,,,,,,,,,,,,,
20,amphotericin b lipid complex,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,
