,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,Advair Diskus,,,,,,,,,,,,,,,,,,,
1,Singulair,,,,,,,,,,,,,,,,,,,
2,Symbicort,,,,,,,,,,,,,,,,,,,
3,albuterol,,,,,,,,,,,,,,,,,,,
4,ProAir HFA,,,,,,,,,,,,,,,,,,,
5,Flovent,,,,,,,,,,,,,,,,,,,
6,Qvar,,,,,,,,,,,,,,,,,,,
7,Flovent HFA,,,,,,,,,,,,,,,,,,,
8,Ventolin,,,,,,,,,,,,,,,,,,,
9,Ventolin HFA,,,,,,,,,,,,,,,,,,,
10,Dulera,,,,,,,,,,,,,,,,,,,
11,montelukast,,,,,,,,,,,,,,,,,,,
12,Accolate,,,,,,,,,,,,,,,,,,,
13,Advair HFA,,,,,,,,,,,,,,,,,,,
14,fluticasone,,,,,,,,,,,,,,,,,,,
15,Xopenex,,,,,,,,,,,,,,,,,,,
16,Proventil HFA,,,,,,,,,,,,,,,,,,,
17,fluticasone / salmeterol,,,,,,,,,,,,,,,,,,,
18,Asmanex Twisthaler,,,,,,,,,,,,,,,,,,,
19,budesonide,,,,,,,,,,,,,,,,,,,
20,Xolair,,,,,,,,,,,,,,,,,,,
21,Pulmicort Flexhaler,,,,,,,,,,,,,,,,,,,
22,budesonide / formoterol,,,,,,,,,,,,,,,,,,,
23,theophylline,,,,,,,,,,,,,,,,,,,
24,beclomethasone,,,,,,,,,,,,,,,,,,,
25,Pulmicort Turbuhaler,,,,,,,,,,,,,,,,,,,
26,Flovent Diskus,,,,,,,,,,,,,,,,,,,
27,ProAir RespiClick,,,,,,,,,,,,,,,,,,,
28,Pulmicort Respules,,,,,,,,,,,,,,,,,,,
29,zafirlukast,,,,,,,,,,,,,,,,,,,
30,AccuNeb,,,,,,,,,,,,,,,,,,,
31,Alvesco,,,,,,,,,,,,,,,,,,,
32,Medrol,,,,,,,,,,,,,,,,,,,
33,methylprednisolone,,,,,,,,,,,,,,,,,,,
34,Vospire ER,,,,,,,,,,,,,,,,,,,
35,Arnuity Ellipta,,,,,,,,,,,,,,,,,,,
36,Flovent Rotadisk,,,,,,,,,,,,,,,,,,,
37,formoterol / mometasone,,,,,,,,,,,,,,,,,,,
38,levalbuterol,,,,,,,,,,,,,,,,,,,
39,MethylPREDNISolone Dose Pack,,,,,,,,,,,,,,,,,,,
40,Serevent Diskus,,,,,,,,,,,,,,,,,,,
41,Solu-Medrol,,,,,,,,,,,,,,,,,,,
42,Xopenex HFA,,,,,,,,,,,,,,,,,,,
43,Medrol Dosepak,,,,,,,,,,,,,,,,,,,
44,metaproterenol,,,,,,,,,,,,,,,,,,,
45,mometasone,,,,,,,,,,,,,,,,,,,
46,Pulmicort Nebuamp,,,,,,,,,,,,,,,,,,,
47,Asmanex HFA,,,,,,,,,,,,,,,,,,,
48,ciclesonide,,,,,,,,,,,,,,,,,,,
49,Foradil Aerolizer,,,,,,,,,,,,,,,,,,,
50,omalizumab,,,,,,,,,,,,,,,,,,,
51,salmeterol,,,,,,,,,,,,,,,,,,,
52,terbutaline,,,,,,,,,,,,,,,,,,,
53,Theo-24,,,,,,,,,,,,,,,,,,,
54,Breo Ellipta,,,,,,,,,,,,,,,,,,,
55,cromolyn,,,,,,,,,,,,,,,,,,,
56,Depo-Medrol,,,,,,,,,,,,,,,,,,,
57,Elixophyllin,,,,,,,,,,,,,,,,,,,
58,formoterol,,,,,,,,,,,,,,,,,,,
59,Spiriva Respimat,,,,,,,,,,,,,,,,,,,
60,Theochron,,,,,,,,,,,,,,,,,,,
61,tiotropium,,,,,,,,,,,,,,,,,,,
62,Zyflo CR,,,,,,,,,,,,,,,,,,,
63,fluticasone / vilanterol,,,,,,,,,,,,,,,,,,,
64,mepolizumab,,,,,,,,,,,,,,,,,,,
65,Nucala,,,,,,,,,,,,,,,,,,,
66,Xopenex Concentrate,,,,,,,,,,,,,,,,,,,
67,zileuton,,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,,,,
