,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,epinephrine,,,,,,,,,,,,,,,,,,,
1,Adrenalin,,,,,,,,,,,,,,,,,,,
2,vasopressin,,,,,,,,,,,,,,,,,,,
3,sodium bicarbonate,,,,,,,,,,,,,,,,,,,
4,calcium chloride,,,,,,,,,,,,,,,,,,,
5,Pitressin,,,,,,,,,,,,,,,,,,,
6,Adrenalin Chloride,,,,,,,,,,,,,,,,,,,
7,Neut,,,,,,,,,,,,,,,,,,,
8,Adrenaclick,,,,,,,,,,,,,,,,,,,
9,Vasostrict,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,
