,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,Estrace Vaginal Cream,,,,,,,,,,,,,,,,,,,
1,Vagifem,,,,,,,,,,,,,,,,,,,
2,Premarin Vaginal,,,,,,,,,,,,,,,,,,,
3,Estrace,,,,,,,,,,,,,,,,,,,
4,estradiol,,,,,,,,,,,,,,,,,,,
5,Premarin,,,,,,,,,,,,,,,,,,,
6,Climara,,,,,,,,,,,,,,,,,,,
7,Estring,,,,,,,,,,,,,,,,,,,
8,Alora,,,,,,,,,,,,,,,,,,,
9,Estradiol Patch,,,,,,,,,,,,,,,,,,,
10,Activella,,,,,,,,,,,,,,,,,,,
11,Estrogel,,,,,,,,,,,,,,,,,,,
12,Vivelle-Dot,,,,,,,,,,,,,,,,,,,
13,conjugated estrogens,,,,,,,,,,,,,,,,,,,
14,Femring,,,,,,,,,,,,,,,,,,,
15,Delestrogen,,,,,,,,,,,,,,,,,,,
16,Estraderm,,,,,,,,,,,,,,,,,,,
17,Vivelle,,,,,,,,,,,,,,,,,,,
18,Cenestin,,,,,,,,,,,,,,,,,,,
19,CombiPatch,,,,,,,,,,,,,,,,,,,
20,Depo-Estradiol,,,,,,,,,,,,,,,,,,,
21,Yuvafem,,,,,,,,,,,,,,,,,,,
22,estradiol / norethindrone,,,,,,,,,,,,,,,,,,,
23,Prempro,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,
