,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,Abilify,,,,,,,,,,,,,,,,,,,
1,Risperdal,,,,,,,,,,,,,,,,,,,
2,risperidone,,,,,,,,,,,,,,,,,,,
3,Effexor,,,,,,,,,,,,,,,,,,,
4,Geodon,,,,,,,,,,,,,,,,,,,
5,Risperdal M-Tab,,,,,,,,,,,,,,,,,,,
6,Effexor XR,,,,,,,,,,,,,,,,,,,
7,aripiprazole,,,,,,,,,,,,,,,,,,,
8,venlafaxine,,,,,,,,,,,,,,,,,,,
9,ziprasidone,,,,,,,,,,,,,,,,,,,
10,memantine,,,,,,,,,,,,,,,,,,,
11,bumetanide,,,,,,,,,,,,,,,,,,,
12,paliperidone,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,
