,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,ibuprofen,,,,,,,,,,,,,,,,,,,
1,aspirin,,,,,,,,,,,,,,,,,,,
2,alendronate,,,,,,,,,,,,,,,,,,,
3,naproxen,,,,,,,,,,,,,,,,,,,
4,diclofenac,,,,,,,,,,,,,,,,,,,
5,Advil,,,,,,,,,,,,,,,,,,,
6,Fosamax,,,,,,,,,,,,,,,,,,,
7,Voltaren,,,,,,,,,,,,,,,,,,,
8,Aleve,,,,,,,,,,,,,,,,,,,
9,Cataflam,,,,,,,,,,,,,,,,,,,
10,Easprin,,,,,,,,,,,,,,,,,,,
11,IBU,,,,,,,,,,,,,,,,,,,
12,Bayer Aspirin,,,,,,,,,,,,,,,,,,,
13,Anaprox,,,,,,,,,,,,,,,,,,,
14,Voltaren-XR,,,,,,,,,,,,,,,,,,,
15,Arthritis Pain,,,,,,,,,,,,,,,,,,,
16,Naprosyn,,,,,,,,,,,,,,,,,,,
17,Motrin,,,,,,,,,,,,,,,,,,,
18,Anaprox-DS,,,,,,,,,,,,,,,,,,,
19,Ecotrin,,,,,,,,,,,,,,,,,,,
20,Fasprin,,,,,,,,,,,,,,,,,,,
21,Aspergum,,,,,,,,,,,,,,,,,,,
22,Aspiritab,,,,,,,,,,,,,,,,,,,
23,Aspirtab,,,,,,,,,,,,,,,,,,,
24,Buffasal,,,,,,,,,,,,,,,,,,,
25,Bufferin Low Dose,,,,,,,,,,,,,,,,,,,
26,Ecpirin,,,,,,,,,,,,,,,,,,,
27,Entercote,,,,,,,,,,,,,,,,,,,
28,Genacote,,,,,,,,,,,,,,,,,,,
29,Halfprin,,,,,,,,,,,,,,,,,,,
30,Medi-Seltzer,,,,,,,,,,,,,,,,,,,
31,Norwich Aspirin,,,,,,,,,,,,,,,,,,,
32,ZORprin,,,,,,,,,,,,,,,,,,,
33,Binosto,,,,,,,,,,,,,,,,,,,
34,Midol IB,,,,,,,,,,,,,,,,,,,
35,Motrin IB,,,,,,,,,,,,,,,,,,,
36,Nuprin,,,,,,,,,,,,,,,,,,,
37,Proprinal,,,,,,,,,,,,,,,,,,,
38,A-G Profen,,,,,,,,,,,,,,,,,,,
39,Actiprofen,,,,,,,,,,,,,,,,,,,
40,Addaprin,,,,,,,,,,,,,,,,,,,
41,All Day Relief,,,,,,,,,,,,,,,,,,,
42,Genpril,,,,,,,,,,,,,,,,,,,
43,Haltran,,,,,,,,,,,,,,,,,,,
44,Ibu-4,,,,,,,,,,,,,,,,,,,
45,Ibu-6,,,,,,,,,,,,,,,,,,,
46,Ibu-8,,,,,,,,,,,,,,,,,,,
47,IBU-200,,,,,,,,,,,,,,,,,,,
48,Ibu-Tab,,,,,,,,,,,,,,,,,,,
49,Naprelan,,,,,,,,,,,,,,,,,,,
50,Q-Profen,,,,,,,,,,,,,,,,,,,
51,Aflaxen,,,,,,,,,,,,,,,,,,,
52,All Day Pain Relief,,,,,,,,,,,,,,,,,,,
53,EC-Naprosyn,,,,,,,,,,,,,,,,,,,
54,Flanax Pain Reliever,,,,,,,,,,,,,,,,,,,
55,Midol Extended Relief,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,,,
