,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,Vitamin B12,,,,,,,,,,,,,,,,,,,
1,cyanocobalamin,,,,,,,,,,,,,,,,,,,
2,B-12,,,,,,,,,,,,,,,,,,,
3,B-12 Dots,,,,,,,,,,,,,,,,,,,
4,Nascobal,,,,,,,,,,,,,,,,,,,
5,Cobal 1000,,,,,,,,,,,,,,,,,,,
6,CaloMist,,,,,,,,,,,,,,,,,,,
7,Cobolin-M,,,,,,,,,,,,,,,,,,,
8,Depo-Cobolin,,,,,,,,,,,,,,,,,,,
9,Vita #12,,,,,,,,,,,,,,,,,,,
10,Eligen B12,,,,,,,,,,,,,,,,,,,
11,LA-12,,,,,,,,,,,,,,,,,,,
12,Neuroforte-R,,,,,,,,,,,,,,,,,,,
13,Vitabee 12,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,
