,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,Mepron,,,,,,,,,,,,,,,,,,,
1,clindamycin,,,,,,,,,,,,,,,,,,,
2,Zithromax,,,,,,,,,,,,,,,,,,,
3,azithromycin,,,,,,,,,,,,,,,,,,,
4,atovaquone,,,,,,,,,,,,,,,,,,,
5,Azithromycin Dose Pack,,,,,,,,,,,,,,,,,,,
6,Cleocin,,,,,,,,,,,,,,,,,,,
7,Zmax,,,,,,,,,,,,,,,,,,,
8,Cleocin HCl,,,,,,,,,,,,,,,,,,,
9,Cleocin Phosphate,,,,,,,,,,,,,,,,,,,
10,Cleocin Pediatric,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,
