,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,tramadol,,,,,,,,,,,,,,,,,,,
1,Norco,,,,,,,,,,,,,,,,,,,
2,acetaminophen / hydrocodone,,,,,,,,,,,,,,,,,,,
3,Ultram,,,,,,,,,,,,,,,,,,,
4,Vicodin,,,,,,,,,,,,,,,,,,,
5,ibuprofen,,,,,,,,,,,,,,,,,,,
6,naproxen,,,,,,,,,,,,,,,,,,,
7,Lortab,,,,,,,,,,,,,,,,,,,
8,Cymbalta,,,,,,,,,,,,,,,,,,,
9,diclofenac,,,,,,,,,,,,,,,,,,,
10,Vicodin ES,,,,,,,,,,,,,,,,,,,
11,Aleve,,,,,,,,,,,,,,,,,,,
12,Voltaren,,,,,,,,,,,,,,,,,,,
13,Naprosyn,,,,,,,,,,,,,,,,,,,
14,Advil,,,,,,,,,,,,,,,,,,,
15,Cataflam,,,,,,,,,,,,,,,,,,,
16,Bayer Aspirin,,,,,,,,,,,,,,,,,,,
17,Motrin,,,,,,,,,,,,,,,,,,,
18,Ecotrin,,,,,,,,,,,,,,,,,,,
19,Lorcet 10 / 650,,,,,,,,,,,,,,,,,,,
20,Relafen,,,,,,,,,,,,,,,,,,,
21,aspirin,,,,,,,,,,,,,,,,,,,
22,Anaprox,,,,,,,,,,,,,,,,,,,
23,Hycet,,,,,,,,,,,,,,,,,,,
24,IBU,,,,,,,,,,,,,,,,,,,
25,ConZip,,,,,,,,,,,,,,,,,,,
26,duloxetine,,,,,,,,,,,,,,,,,,,
27,nabumetone,,,,,,,,,,,,,,,,,,,
28,Ultram ER,,,,,,,,,,,,,,,,,,,
29,Arthritis Pain,,,,,,,,,,,,,,,,,,,
30,Indocin,,,,,,,,,,,,,,,,,,,
31,Ryzolt,,,,,,,,,,,,,,,,,,,
32,Ultram ODT,,,,,,,,,,,,,,,,,,,
33,Zipsor,,,,,,,,,,,,,,,,,,,
34,Ascriptin,,,,,,,,,,,,,,,,,,,
35,Aspergum,,,,,,,,,,,,,,,,,,,
36,Aspiritab,,,,,,,,,,,,,,,,,,,
37,Aspirtab,,,,,,,,,,,,,,,,,,,
38,Buffasal,,,,,,,,,,,,,,,,,,,
39,Bufferin Low Dose,,,,,,,,,,,,,,,,,,,
40,Easprin,,,,,,,,,,,,,,,,,,,
41,Ecpirin,,,,,,,,,,,,,,,,,,,
42,Entercote,,,,,,,,,,,,,,,,,,,
43,Fasprin,,,,,,,,,,,,,,,,,,,
44,Genacote,,,,,,,,,,,,,,,,,,,
45,Halfprin,,,,,,,,,,,,,,,,,,,
46,indomethacin,,,,,,,,,,,,,,,,,,,
47,Medi-Seltzer,,,,,,,,,,,,,,,,,,,
48,Naprelan,,,,,,,,,,,,,,,,,,,
49,Norwich Aspirin,,,,,,,,,,,,,,,,,,,
50,Rybix ODT,,,,,,,,,,,,,,,,,,,
51,ZORprin,,,,,,,,,,,,,,,,,,,
52,Advil Liqui-Gels,,,,,,,,,,,,,,,,,,,
53,Hydrocet,,,,,,,,,,,,,,,,,,,
54,Ibu-8,,,,,,,,,,,,,,,,,,,
55,A-G Profen,,,,,,,,,,,,,,,,,,,
56,Actiprofen,,,,,,,,,,,,,,,,,,,
57,Addaprin,,,,,,,,,,,,,,,,,,,
58,Genpril,,,,,,,,,,,,,,,,,,,
59,Haltran,,,,,,,,,,,,,,,,,,,
60,Ibu-4,,,,,,,,,,,,,,,,,,,
61,Ibu-6,,,,,,,,,,,,,,,,,,,
62,IBU-200,,,,,,,,,,,,,,,,,,,
63,Ibu-Tab,,,,,,,,,,,,,,,,,,,
64,Midol IB,,,,,,,,,,,,,,,,,,,
65,Motrin IB,,,,,,,,,,,,,,,,,,,
66,Nuprin,,,,,,,,,,,,,,,,,,,
67,Proprinal,,,,,,,,,,,,,,,,,,,
68,Q-Profen,,,,,,,,,,,,,,,,,,,
69,Vicodin HP,,,,,,,,,,,,,,,,,,,
70,Voltaren-XR,,,,,,,,,,,,,,,,,,,
71,Xodol,,,,,,,,,,,,,,,,,,,
72,acetaminophen / pamabrom,,,,,,,,,,,,,,,,,,,
73,Aflaxen,,,,,,,,,,,,,,,,,,,
74,All Day Pain Relief,,,,,,,,,,,,,,,,,,,
75,All Day Relief,,,,,,,,,,,,,,,,,,,
76,Anaprox-DS,,,,,,,,,,,,,,,,,,,
77,Dolacet,,,,,,,,,,,,,,,,,,,
78,EC-Naprosyn,,,,,,,,,,,,,,,,,,,
79,Flanax Pain Reliever,,,,,,,,,,,,,,,,,,,
80,flurbiprofen,,,,,,,,,,,,,,,,,,,
81,Irenka,,,,,,,,,,,,,,,,,,,
82,ketoprofen,,,,,,,,,,,,,,,,,,,
83,Maxidone,,,,,,,,,,,,,,,,,,,
84,Midol Extended Relief,,,,,,,,,,,,,,,,,,,
85,Zydone,,,,,,,,,,,,,,,,,,,
86,Anexsia,,,,,,,,,,,,,,,,,,,
87,Ansaid,,,,,,,,,,,,,,,,,,,
88,Co-Gesic,,,,,,,,,,,,,,,,,,,
89,Dolagesic,,,,,,,,,,,,,,,,,,,
90,Indocin IV,,,,,,,,,,,,,,,,,,,
91,Indocin SR,,,,,,,,,,,,,,,,,,,
92,Liquicet,,,,,,,,,,,,,,,,,,,
93,Lorcet Plus,,,,,,,,,,,,,,,,,,,
94,Orudis,,,,,,,,,,,,,,,,,,,
95,Oruvail,,,,,,,,,,,,,,,,,,,
96,Stagesic,,,,,,,,,,,,,,,,,,,
97,Theracodophen Low 90,,,,,,,,,,,,,,,,,,,
98,trolamine salicylate,,,,,,,,,,,,,,,,,,,
99,Zamicet,,,,,,,,,,,,,,,,,,,
100,Zolvit,,,,,,,,,,,,,,,,,,,
101,acetaminophen / aspirin,,,,,,,,,,,,,,,,,,,
102,acetaminophen / pyrilamine,,,,,,,,,,,,,,,,,,,
103,Aspercreme,,,,,,,,,,,,,,,,,,,
104,Goody's Body Pain,,,,,,,,,,,,,,,,,,,
105,HistaFlex,,,,,,,,,,,,,,,,,,,
106,Myoflex Cream,,,,,,,,,,,,,,,,,,,
107,Orudis KT,,,,,,,,,,,,,,,,,,,
108,Tetramex,,,,,,,,,,,,,,,,,,,
109,Tolectin,,,,,,,,,,,,,,,,,,,
110,Tolectin 600,,,,,,,,,,,,,,,,,,,
