,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,Zoladex,,,,,,,,,,,,,,,,,,,
1,tamoxifen,,,,,,,,,,,,,,,,,,,
2,Estrace,,,,,,,,,,,,,,,,,,,
3,Megace,,,,,,,,,,,,,,,,,,,
4,Estradiol Patch,,,,,,,,,,,,,,,,,,,
5,Premarin,,,,,,,,,,,,,,,,,,,
6,Adrucil,,,,,,,,,,,,,,,,,,,
7,estradiol,,,,,,,,,,,,,,,,,,,
8,conjugated estrogens,,,,,,,,,,,,,,,,,,,
9,testosterone,,,,,,,,,,,,,,,,,,,
10,Android,,,,,,,,,,,,,,,,,,,
11,Depo-Testosterone,,,,,,,,,,,,,,,,,,,
12,Androxy,,,,,,,,,,,,,,,,,,,
13,Megace ES,,,,,,,,,,,,,,,,,,,
14,megestrol,,,,,,,,,,,,,,,,,,,
15,Testopel,,,,,,,,,,,,,,,,,,,
16,Delatestryl,,,,,,,,,,,,,,,,,,,
17,fluorouracil,,,,,,,,,,,,,,,,,,,
18,Cenestin,,,,,,,,,,,,,,,,,,,
19,methyltestosterone,,,,,,,,,,,,,,,,,,,
20,Soltamox,,,,,,,,,,,,,,,,,,,
21,Halotestin,,,,,,,,,,,,,,,,,,,
22,Enjuvia,,,,,,,,,,,,,,,,,,,
23,fluoxymesterone,,,,,,,,,,,,,,,,,,,
24,goserelin,,,,,,,,,,,,,,,,,,,
25,Menest,,,,,,,,,,,,,,,,,,,
26,esterified estrogens,,,,,,,,,,,,,,,,,,,
27,Premarin Intravenous,,,,,,,,,,,,,,,,,,,
28,Testred,,,,,,,,,,,,,,,,,,,
29,Testro AQ,,,,,,,,,,,,,,,,,,,
30,Methitest,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,
