,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,Azithromycin Dose Pack,,,,,,,,,,,,,,,,,,,
1,Mucinex,,,,,,,,,,,,,,,,,,,
2,Augmentin,,,,,,,,,,,,,,,,,,,
3,Levaquin,,,,,,,,,,,,,,,,,,,
4,azithromycin,,,,,,,,,,,,,,,,,,,
5,Zithromax,,,,,,,,,,,,,,,,,,,
6,doxycycline,,,,,,,,,,,,,,,,,,,
7,amoxicillin,,,,,,,,,,,,,,,,,,,
8,Amoxil,,,,,,,,,,,,,,,,,,,
9,levofloxacin,,,,,,,,,,,,,,,,,,,
10,guaifenesin,,,,,,,,,,,,,,,,,,,
11,Cipro,,,,,,,,,,,,,,,,,,,
12,clarithromycin,,,,,,,,,,,,,,,,,,,
13,Qvar,,,,,,,,,,,,,,,,,,,
14,Avelox,,,,,,,,,,,,,,,,,,,
15,ciprofloxacin,,,,,,,,,,,,,,,,,,,
16,amoxicillin / clavulanate,,,,,,,,,,,,,,,,,,,
17,Bactrim,,,,,,,,,,,,,,,,,,,
18,cefdinir,,,,,,,,,,,,,,,,,,,
19,Biaxin,,,,,,,,,,,,,,,,,,,
20,Bactrim DS,,,,,,,,,,,,,,,,,,,
21,Ceftin,,,,,,,,,,,,,,,,,,,
22,cefuroxime,,,,,,,,,,,,,,,,,,,
23,sulfamethoxazole / trimethoprim,,,,,,,,,,,,,,,,,,,
24,Septra DS,,,,,,,,,,,,,,,,,,,
25,Vibramycin,,,,,,,,,,,,,,,,,,,
26,Doxy 100,,,,,,,,,,,,,,,,,,,
27,erythromycin,,,,,,,,,,,,,,,,,,,
28,moxifloxacin,,,,,,,,,,,,,,,,,,,
29,Apo-Amoxi,,,,,,,,,,,,,,,,,,,
30,Doxy 200,,,,,,,,,,,,,,,,,,,
31,Moxilin,,,,,,,,,,,,,,,,,,,
32,Septra,,,,,,,,,,,,,,,,,,,
33,Zmax,,,,,,,,,,,,,,,,,,,
34,beclomethasone,,,,,,,,,,,,,,,,,,,
35,Cipro I.V.,,,,,,,,,,,,,,,,,,,
36,Cipro XR,,,,,,,,,,,,,,,,,,,
37,Doryx,,,,,,,,,,,,,,,,,,,
38,Monodox,,,,,,,,,,,,,,,,,,,
39,Morgidox,,,,,,,,,,,,,,,,,,,
40,Ocudox,,,,,,,,,,,,,,,,,,,
41,Oraxyl,,,,,,,,,,,,,,,,,,,
42,SMZ-TMP DS,,,,,,,,,,,,,,,,,,,
43,Vibra-Tabs,,,,,,,,,,,,,,,,,,,
44,cefixime,,,,,,,,,,,,,,,,,,,
45,ceftriaxone,,,,,,,,,,,,,,,,,,,
46,Ery-Tab,,,,,,,,,,,,,,,,,,,
47,Robitussin Chest Congestion,,,,,,,,,,,,,,,,,,,
48,Suprax,,,,,,,,,,,,,,,,,,,
49,ampicillin,,,,,,,,,,,,,,,,,,,
50,Augmentin XR,,,,,,,,,,,,,,,,,,,
51,Biaxin XL,,,,,,,,,,,,,,,,,,,
52,cefprozil,,,,,,,,,,,,,,,,,,,
53,Cefzil,,,,,,,,,,,,,,,,,,,
54,Co-trimoxazole,,,,,,,,,,,,,,,,,,,
55,COPD,,,,,,,,,,,,,,,,,,,
56,Erythrocin,,,,,,,,,,,,,,,,,,,
57,Guaifenex G,,,,,,,,,,,,,,,,,,,
58,Mucinex for Kids,,,,,,,,,,,,,,,,,,,
59,Mucinex Maximum Strength,,,,,,,,,,,,,,,,,,,
60,Tussin Expectorant,,,,,,,,,,,,,,,,,,,
61,Achromycin V,,,,,,,,,,,,,,,,,,,
62,Ala-Tet,,,,,,,,,,,,,,,,,,,
63,Altarussin,,,,,,,,,,,,,,,,,,,
64,Amibid LA,,,,,,,,,,,,,,,,,,,
65,Amoclan,,,,,,,,,,,,,,,,,,,
66,Augmentin ES-600,,,,,,,,,,,,,,,,,,,
67,Balminil Expectorant,,,,,,,,,,,,,,,,,,,
68,Benylin E,,,,,,,,,,,,,,,,,,,
69,Bidex-400,,,,,,,,,,,,,,,,,,,
70,Brodspec,,,,,,,,,,,,,,,,,,,
71,Cedax,,,,,,,,,,,,,,,,,,,
72,cefpodoxime,,,,,,,,,,,,,,,,,,,
73,ceftibuten,,,,,,,,,,,,,,,,,,,
74,Cotrim,,,,,,,,,,,,,,,,,,,
75,dicloxacillin,,,,,,,,,,,,,,,,,,,
76,Drituss G,,,,,,,,,,,,,,,,,,,
77,dyphylline / guaifenesin,,,,,,,,,,,,,,,,,,,
