,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,prednisone,,,,,,,,,,,,,,,,,,,
1,minocycline,,,,,,,,,,,,,,,,,,,
2,doxycycline,,,,,,,,,,,,,,,,,,,
3,Doxy 100,,,,,,,,,,,,,,,,,,,
4,tetracycline,,,,,,,,,,,,,,,,,,,
5,dapsone,,,,,,,,,,,,,,,,,,,
6,azathioprine,,,,,,,,,,,,,,,,,,,
7,Doryx,,,,,,,,,,,,,,,,,,,
8,mycophenolate mofetil,,,,,,,,,,,,,,,,,,,
9,prednisolone,,,,,,,,,,,,,,,,,,,
10,Minocin,,,,,,,,,,,,,,,,,,,
11,methotrexate,,,,,,,,,,,,,,,,,,,
12,erythromycin,,,,,,,,,,,,,,,,,,,
13,Prelone,,,,,,,,,,,,,,,,,,,
14,rituximab,,,,,,,,,,,,,,,,,,,
15,Achromycin V,,,,,,,,,,,,,,,,,,,
16,Monodox,,,,,,,,,,,,,,,,,,,
17,Vibramycin,,,,,,,,,,,,,,,,,,,
18,Ery-Tab,,,,,,,,,,,,,,,,,,,
19,infliximab,,,,,,,,,,,,,,,,,,,
20,PediaPred,,,,,,,,,,,,,,,,,,,
21,Dynacin,,,,,,,,,,,,,,,,,,,
22,Erythrocin,,,,,,,,,,,,,,,,,,,
23,Sumycin,,,,,,,,,,,,,,,,,,,
24,cyclophosphamide,,,,,,,,,,,,,,,,,,,
25,Doxy 200,,,,,,,,,,,,,,,,,,,
26,Eryc,,,,,,,,,,,,,,,,,,,
27,Morgidox,,,,,,,,,,,,,,,,,,,
28,Ocudox,,,,,,,,,,,,,,,,,,,
29,Oraxyl,,,,,,,,,,,,,,,,,,,
30,PCE Dispertab,,,,,,,,,,,,,,,,,,,
31,Vibra-Tabs,,,,,,,,,,,,,,,,,,,
32,Ximino,,,,,,,,,,,,,,,,,,,
33,E.E.S.-400,,,,,,,,,,,,,,,,,,,
34,E.E.S.-400 Filmtab,,,,,,,,,,,,,,,,,,,
35,E.E.S. Granules,,,,,,,,,,,,,,,,,,,
36,EryPed,,,,,,,,,,,,,,,,,,,
37,Erythrocin Lactobionate,,,,,,,,,,,,,,,,,,,
38,Erythrocin Stearate Filmtab,,,,,,,,,,,,,,,,,,,
39,Ilosone,,,,,,,,,,,,,,,,,,,
40,Millipred,,,,,,,,,,,,,,,,,,,
41,Millipred DP,,,,,,,,,,,,,,,,,,,
42,Orapred ODT,,,,,,,,,,,,,,,,,,,
43,Veripred 20,,,,,,,,,,,,,,,,,,,
44,Ala-Tet,,,,,,,,,,,,,,,,,,,
45,Brodspec,,,,,,,,,,,,,,,,,,,
46,etanercept,,,,,,,,,,,,,,,,,,,
47,Myrac,,,,,,,,,,,,,,,,,,,
48,Panmycin,,,,,,,,,,,,,,,,,,,
49,Tetracap,,,,,,,,,,,,,,,,,,,
50,Tetracon,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,,,
