,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,silver sulfadiazine,,,,,,,,,,,,,,,,,,,
1,Silvadene,,,,,,,,,,,,,,,,,,,
2,Xylocaine Jelly,,,,,,,,,,,,,,,,,,,
3,lidocaine,,,,,,,,,,,,,,,,,,,
4,Bactine,,,,,,,,,,,,,,,,,,,
5,Dermoplast,,,,,,,,,,,,,,,,,,,
6,AneCream,,,,,,,,,,,,,,,,,,,
7,Aloe Vera Burn Relief Spray with Lidocaine,,,,,,,,,,,,,,,,,,,
8,Solarcaine Burn Relief,,,,,,,,,,,,,,,,,,,
9,SSD,,,,,,,,,,,,,,,,,,,
10,Albuminar-25,,,,,,,,,,,,,,,,,,,
11,Lidocream,,,,,,,,,,,,,,,,,,,
12,Nupercainal,,,,,,,,,,,,,,,,,,,
13,Xylocaine Topical,,,,,,,,,,,,,,,,,,,
14,Garamycin,,,,,,,,,,,,,,,,,,,
15,Thermazene,,,,,,,,,,,,,,,,,,,
16,Sulfamylon,,,,,,,,,,,,,,,,,,,
17,Vancocin,,,,,,,,,,,,,,,,,,,
18,Albutein,,,,,,,,,,,,,,,,,,,
19,AneCream with Tegaderm,,,,,,,,,,,,,,,,,,,
20,Anestafoam,,,,,,,,,,,,,,,,,,,
21,CidalEaze,,,,,,,,,,,,,,,,,,,
22,DermacinRx Lido V Pak,,,,,,,,,,,,,,,,,,,
23,Eha Lotion,,,,,,,,,,,,,,,,,,,
24,gentamicin,,,,,,,,,,,,,,,,,,,
25,LidaMantle,,,,,,,,,,,,,,,,,,,
26,Lidopac,,,,,,,,,,,,,,,,,,,
27,Lidopin,,,,,,,,,,,,,,,,,,,
28,LidoRx,,,,,,,,,,,,,,,,,,,
29,LidoRxKit,,,,,,,,,,,,,,,,,,,
30,Lidotrans 5 Pak,,,,,,,,,,,,,,,,,,,
31,Lidovex,,,,,,,,,,,,,,,,,,,
32,Lidozol,,,,,,,,,,,,,,,,,,,
33,Medi-Quik Spray,,,,,,,,,,,,,,,,,,,
34,RadiaGuard,,,,,,,,,,,,,,,,,,,
35,Regenecare HA Spray,,,,,,,,,,,,,,,,,,,
36,Senatec,,,,,,,,,,,,,,,,,,,
37,Topicaine,,,,,,,,,,,,,,,,,,,
38,benzocaine,,,,,,,,,,,,,,,,,,,
39,Bionect,,,,,,,,,,,,,,,,,,,
40,vancomycin,,,,,,,,,,,,,,,,,,,
41,Human Albumin Grifols,,,,,,,,,,,,,,,,,,,
42,mafenide,,,,,,,,,,,,,,,,,,,
43,Nebcin,,,,,,,,,,,,,,,,,,,
44,Vancocin HCl,,,,,,,,,,,,,,,,,,,
45,Vancocin HCl Pulvules,,,,,,,,,,,,,,,,,,,
46,albumin human,,,,,,,,,,,,,,,,,,,
47,Flexbumin,,,,,,,,,,,,,,,,,,,
48,sodium hyaluronate,,,,,,,,,,,,,,,,,,,
49,SSD AF,,,,,,,,,,,,,,,,,,,
50,Tobi,,,,,,,,,,,,,,,,,,,
51,tobramycin,,,,,,,,,,,,,,,,,,,
52,Albuminar-5,,,,,,,,,,,,,,,,,,,
53,Albuminar-20,,,,,,,,,,,,,,,,,,,
54,dibucaine,,,,,,,,,,,,,,,,,,,
55,Hylira,,,,,,,,,,,,,,,,,,,
56,RadiaPlexRx,,,,,,,,,,,,,,,,,,,
57,Albuked,,,,,,,,,,,,,,,,,,,
58,Albumarc,,,,,,,,,,,,,,,,,,,
59,Albumin-Alpine,,,,,,,,,,,,,,,,,,,
60,Albunex,,,,,,,,,,,,,,,,,,,
61,Alburx,,,,,,,,,,,,,,,,,,,
62,Buminate,,,,,,,,,,,,,,,,,,,
63,IPM Wound,,,,,,,,,,,,,,,,,,,
64,Kedbumin,,,,,,,,,,,,,,,,,,,
65,Plasbumin,,,,,,,,,,,,,,,,,,,
66,Plasbumin-5,,,,,,,,,,,,,,,,,,,
67,Plasbumin-25,,,,,,,,,,,,,,,,,,,
68,Solarcaine First Aid Medicated Spray,,,,,,,,,,,,,,,,,,,
69,Xclair,,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,,,,
