,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,lisinopril,,,,,,,,,,,,,,,,,,,
1,Norvasc,,,,,,,,,,,,,,,,,,,
2,amlodipine,,,,,,,,,,,,,,,,,,,
3,Aceon,,,,,,,,,,,,,,,,,,,
4,Vasodilan,,,,,,,,,,,,,,,,,,,
5,perindopril,,,,,,,,,,,,,,,,,,,
6,isoxsuprine,,,,,,,,,,,,,,,,,,,
7,amlodipine / atorvastatin,,,,,,,,,,,,,,,,,,,
8,Caduet,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,
