,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,Plavix,,,,,,,,,,,,,,,,,,,
1,aspirin,,,,,,,,,,,,,,,,,,,
2,clopidogrel,,,,,,,,,,,,,,,,,,,
3,Activase,,,,,,,,,,,,,,,,,,,
4,Aspir 81,,,,,,,,,,,,,,,,,,,
5,Bayer Aspirin,,,,,,,,,,,,,,,,,,,
6,Easprin,,,,,,,,,,,,,,,,,,,
7,Arthritis Pain,,,,,,,,,,,,,,,,,,,
8,Ecotrin,,,,,,,,,,,,,,,,,,,
9,Ascriptin,,,,,,,,,,,,,,,,,,,
10,Aspir-Low,,,,,,,,,,,,,,,,,,,
11,alteplase,,,,,,,,,,,,,,,,,,,
12,Bayer Aspirin Regimen,,,,,,,,,,,,,,,,,,,
13,Fasprin,,,,,,,,,,,,,,,,,,,
14,Halfprin,,,,,,,,,,,,,,,,,,,
15,ZORprin,,,,,,,,,,,,,,,,,,,
16,Aspergum,,,,,,,,,,,,,,,,,,,
17,Ecpirin,,,,,,,,,,,,,,,,,,,
18,Medi-Seltzer,,,,,,,,,,,,,,,,,,,
19,Aspiritab,,,,,,,,,,,,,,,,,,,
20,Aspirtab,,,,,,,,,,,,,,,,,,,
21,Buffasal,,,,,,,,,,,,,,,,,,,
22,Bufferin Low Dose,,,,,,,,,,,,,,,,,,,
23,Entercote,,,,,,,,,,,,,,,,,,,
24,Genacote,,,,,,,,,,,,,,,,,,,
25,Norwich Aspirin,,,,,,,,,,,,,,,,,,,
26,St. Joseph Aspirin,,,,,,,,,,,,,,,,,,,
27,nimodipine,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,
