,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,cytarabine,,,,,,,,,,,,,,,,,,,
1,Oncovin,,,,,,,,,,,,,,,,,,,
2,Cerubidine,,,,,,,,,,,,,,,,,,,
3,Vincasar PFS,,,,,,,,,,,,,,,,,,,
4,daunorubicin,,,,,,,,,,,,,,,,,,,
5,vincristine,,,,,,,,,,,,,,,,,,,
6,decitabine,,,,,,,,,,,,,,,,,,,
7,idarubicin,,,,,,,,,,,,,,,,,,,
8,Idamycin,,,,,,,,,,,,,,,,,,,
9,Idamycin PFS,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,
