,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,lomustine,,,,,,,,,,,,,,,,,,,
1,Afinitor,,,,,,,,,,,,,,,,,,,
2,Platinol,,,,,,,,,,,,,,,,,,,
3,Zortress,,,,,,,,,,,,,,,,,,,
4,everolimus,,,,,,,,,,,,,,,,,,,
5,cyclophosphamide,,,,,,,,,,,,,,,,,,,
6,carmustine,,,,,,,,,,,,,,,,,,,
7,Gliadel,,,,,,,,,,,,,,,,,,,
8,CeeNU,,,,,,,,,,,,,,,,,,,
9,Platinol-AQ,,,,,,,,,,,,,,,,,,,
10,Afinitor Disperz,,,,,,,,,,,,,,,,,,,
11,BiCNU,,,,,,,,,,,,,,,,,,,
12,methotrexate,,,,,,,,,,,,,,,,,,,
13,cisplatin,,,,,,,,,,,,,,,,,,,
14,Gleostine,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,
