,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,Platinol,,,,,,,,,,,,,,,,,,,
1,Avastin,,,,,,,,,,,,,,,,,,,
2,cisplatin,,,,,,,,,,,,,,,,,,,
3,Hycamtin,,,,,,,,,,,,,,,,,,,
4,Adrucil,,,,,,,,,,,,,,,,,,,
5,Paraplatin,,,,,,,,,,,,,,,,,,,
6,carboplatin,,,,,,,,,,,,,,,,,,,
7,Ifex,,,,,,,,,,,,,,,,,,,
8,Platinol-AQ,,,,,,,,,,,,,,,,,,,
9,methotrexate,,,,,,,,,,,,,,,,,,,
10,topotecan,,,,,,,,,,,,,,,,,,,
11,fluorouracil,,,,,,,,,,,,,,,,,,,
12,ifosfamide,,,,,,,,,,,,,,,,,,,
13,bevacizumab,,,,,,,,,,,,,,,,,,,
14,cyclophosphamide,,,,,,,,,,,,,,,,,,,
15,hydroxyurea,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,
