,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,Casodex,,,,,,,,,,,,,,,,,,,
1,bicalutamide,,,,,,,,,,,,,,,,,,,
2,Lupron,,,,,,,,,,,,,,,,,,,
3,Zytiga,,,,,,,,,,,,,,,,,,,
4,Lupron Depot,,,,,,,,,,,,,,,,,,,
5,Xtandi,,,,,,,,,,,,,,,,,,,
6,Zoladex,,,,,,,,,,,,,,,,,,,
7,Eligard,,,,,,,,,,,,,,,,,,,
8,Firmagon,,,,,,,,,,,,,,,,,,,
9,Taxotere,,,,,,,,,,,,,,,,,,,
10,leuprolide,,,,,,,,,,,,,,,,,,,
11,Provenge,,,,,,,,,,,,,,,,,,,
12,abiraterone,,,,,,,,,,,,,,,,,,,
13,Trelstar,,,,,,,,,,,,,,,,,,,
14,Estrace,,,,,,,,,,,,,,,,,,,
15,goserelin,,,,,,,,,,,,,,,,,,,
16,Cenestin,,,,,,,,,,,,,,,,,,,
17,Delestrogen,,,,,,,,,,,,,,,,,,,
18,docetaxel,,,,,,,,,,,,,,,,,,,
19,enzalutamide,,,,,,,,,,,,,,,,,,,
20,Estradiol Patch,,,,,,,,,,,,,,,,,,,
21,estradiol,,,,,,,,,,,,,,,,,,,
22,flutamide,,,,,,,,,,,,,,,,,,,
23,Lupron Depot 11.25 mg,,,,,,,,,,,,,,,,,,,
24,degarelix,,,,,,,,,,,,,,,,,,,
25,Lupron Depot 3.75 mg,,,,,,,,,,,,,,,,,,,
26,triptorelin,,,,,,,,,,,,,,,,,,,
27,Enjuvia,,,,,,,,,,,,,,,,,,,
28,Jevtana,,,,,,,,,,,,,,,,,,,
29,Nilandron,,,,,,,,,,,,,,,,,,,
30,Premarin,,,,,,,,,,,,,,,,,,,
31,Xofigo,,,,,,,,,,,,,,,,,,,
32,capecitabine,,,,,,,,,,,,,,,,,,,
33,cyclophosphamide,,,,,,,,,,,,,,,,,,,
34,Menest,,,,,,,,,,,,,,,,,,,
35,nilutamide,,,,,,,,,,,,,,,,,,,
36,Novantrone,,,,,,,,,,,,,,,,,,,
37,Trelstar Depot,,,,,,,,,,,,,,,,,,,
38,Trelstar LA,,,,,,,,,,,,,,,,,,,
39,Vantas,,,,,,,,,,,,,,,,,,,
40,cabazitaxel,,,,,,,,,,,,,,,,,,,
41,conjugated estrogens,,,,,,,,,,,,,,,,,,,
42,Docefrez,,,,,,,,,,,,,,,,,,,
43,Eulexin,,,,,,,,,,,,,,,,,,,
44,histrelin,,,,,,,,,,,,,,,,,,,
45,radium 223 dichloride,,,,,,,,,,,,,,,,,,,
46,sipuleucel-T,,,,,,,,,,,,,,,,,,,
47,Viadur,,,,,,,,,,,,,,,,,,,
48,Zoladex 3-Month,,,,,,,,,,,,,,,,,,,
49,Emcyt,,,,,,,,,,,,,,,,,,,
50,esterified estrogens,,,,,,,,,,,,,,,,,,,
51,estramustine,,,,,,,,,,,,,,,,,,,
52,mitoxantrone,,,,,,,,,,,,,,,,,,,
53,Premarin Intravenous,,,,,,,,,,,,,,,,,,,
54,Supprelin LA,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,,,
