,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,Diflucan,,,,,,,,,,,,,,,,,,,
1,fluconazole,,,,,,,,,,,,,,,,,,,
2,Sporanox,,,,,,,,,,,,,,,,,,,
3,itraconazole,,,,,,,,,,,,,,,,,,,
4,amphotericin b,,,,,,,,,,,,,,,,,,,
5,caspofungin,,,,,,,,,,,,,,,,,,,
6,Noxafil,,,,,,,,,,,,,,,,,,,
7,Cancidas,,,,,,,,,,,,,,,,,,,
8,Amphocin,,,,,,,,,,,,,,,,,,,
9,Eraxis,,,,,,,,,,,,,,,,,,,
10,Fungizone,,,,,,,,,,,,,,,,,,,
11,micafungin,,,,,,,,,,,,,,,,,,,
12,Mycamine,,,,,,,,,,,,,,,,,,,
13,Sporanox PulsePak,,,,,,,,,,,,,,,,,,,
14,Vfend,,,,,,,,,,,,,,,,,,,
15,voriconazole,,,,,,,,,,,,,,,,,,,
16,AmBisome,,,,,,,,,,,,,,,,,,,
17,amphotericin b cholesteryl sulfate,,,,,,,,,,,,,,,,,,,
18,Ancobon,,,,,,,,,,,,,,,,,,,
19,flucytosine,,,,,,,,,,,,,,,,,,,
20,Onmel,,,,,,,,,,,,,,,,,,,
21,posaconazole,,,,,,,,,,,,,,,,,,,
22,Abelcet,,,,,,,,,,,,,,,,,,,
23,Amphotec,,,,,,,,,,,,,,,,,,,
24,amphotericin b lipid complex,,,,,,,,,,,,,,,,,,,
25,amphotericin b liposomal,,,,,,,,,,,,,,,,,,,
26,anidulafungin,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,
