,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,simvastatin,,,,,,,,,,,,,,,,,,,
1,Zocor,,,,,,,,,,,,,,,,,,,
2,Micardis,,,,,,,,,,,,,,,,,,,
3,telmisartan,,,,,,,,,,,,,,,,,,,
4,ramipril,,,,,,,,,,,,,,,,,,,
5,Altace,,,,,,,,,,,,,,,,,,,
6,alirocumab,,,,,,,,,,,,,,,,,,,
7,empagliflozin,,,,,,,,,,,,,,,,,,,
8,Jardiance,,,,,,,,,,,,,,,,,,,
9,Praluent,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,
