,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,azithromycin,,,,,,,,,,,,,,,,,,,
1,Zithromax,,,,,,,,,,,,,,,,,,,
2,erythromycin,,,,,,,,,,,,,,,,,,,
3,Azithromycin Dose Pack,,,,,,,,,,,,,,,,,,,
4,Cipro,,,,,,,,,,,,,,,,,,,
5,ciprofloxacin,,,,,,,,,,,,,,,,,,,
6,Cipro I.V.,,,,,,,,,,,,,,,,,,,
7,Zmax,,,,,,,,,,,,,,,,,,,
8,Acticlate,,,,,,,,,,,,,,,,,,,
9,Adoxa,,,,,,,,,,,,,,,,,,,
10,Adoxa CK,,,,,,,,,,,,,,,,,,,
11,Adoxa TT,,,,,,,,,,,,,,,,,,,
12,Alodox,,,,,,,,,,,,,,,,,,,
13,Avidoxy,,,,,,,,,,,,,,,,,,,
14,Cipro XR,,,,,,,,,,,,,,,,,,,
15,Doryx,,,,,,,,,,,,,,,,,,,
16,Doxy 100,,,,,,,,,,,,,,,,,,,
17,Doxy 200,,,,,,,,,,,,,,,,,,,
18,doxycycline,,,,,,,,,,,,,,,,,,,
19,Mondoxyne NL,,,,,,,,,,,,,,,,,,,
20,Monodox,,,,,,,,,,,,,,,,,,,
21,Morgidox,,,,,,,,,,,,,,,,,,,
22,NicAzel Doxy,,,,,,,,,,,,,,,,,,,
23,Ocudox,,,,,,,,,,,,,,,,,,,
24,Oracea,,,,,,,,,,,,,,,,,,,
25,Oraxyl,,,,,,,,,,,,,,,,,,,
26,Periostat,,,,,,,,,,,,,,,,,,,
27,Targadox,,,,,,,,,,,,,,,,,,,
28,Uracil,,,,,,,,,,,,,,,,,,,
29,Vibra-Tabs,,,,,,,,,,,,,,,,,,,
30,Vibramycin,,,,,,,,,,,,,,,,,,,
31,Erythrocin,,,,,,,,,,,,,,,,,,,
32,Floxin,,,,,,,,,,,,,,,,,,,
33,ceftriaxone,,,,,,,,,,,,,,,,,,,
34,E.E.S. Granules,,,,,,,,,,,,,,,,,,,
35,Ery-Tab,,,,,,,,,,,,,,,,,,,
36,E.E.S.-400,,,,,,,,,,,,,,,,,,,
37,E.E.S.-400 Filmtab,,,,,,,,,,,,,,,,,,,
38,Eryc,,,,,,,,,,,,,,,,,,,
39,EryPed,,,,,,,,,,,,,,,,,,,
40,Erythrocin Lactobionate,,,,,,,,,,,,,,,,,,,
41,Erythrocin Stearate Filmtab,,,,,,,,,,,,,,,,,,,
42,Ilosone,,,,,,,,,,,,,,,,,,,
43,ofloxacin,,,,,,,,,,,,,,,,,,,
44,PCE Dispertab,,,,,,,,,,,,,,,,,,,
45,Gantrisin,,,,,,,,,,,,,,,,,,,
46,sulfisoxazole,,,,,,,,,,,,,,,,,,,
47,Truxazole,,,,,,,,,,,,,,,,,,,
48,Gantrisin Pediatric,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,
