,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,Cipro,,,,,,,,,,,,,,,,,,,
1,ciprofloxacin,,,,,,,,,,,,,,,,,,,
2,Vibramycin,,,,,,,,,,,,,,,,,,,
3,doxycycline,,,,,,,,,,,,,,,,,,,
4,Doryx,,,,,,,,,,,,,,,,,,,
5,Doxy 100,,,,,,,,,,,,,,,,,,,
6,Vibra-Tabs,,,,,,,,,,,,,,,,,,,
7,Doxy 200,,,,,,,,,,,,,,,,,,,
8,Monodox,,,,,,,,,,,,,,,,,,,
9,Cipro XR,,,,,,,,,,,,,,,,,,,
10,Morgidox,,,,,,,,,,,,,,,,,,,
11,Oraxyl,,,,,,,,,,,,,,,,,,,
12,Chloromycetin,,,,,,,,,,,,,,,,,,,
13,Cipro I.V.,,,,,,,,,,,,,,,,,,,
14,Ocudox,,,,,,,,,,,,,,,,,,,
15,chloramphenicol,,,,,,,,,,,,,,,,,,,
16,Chloromycetin Sodium Succinate,,,,,,,,,,,,,,,,,,,
17,Minocin for Injection,,,,,,,,,,,,,,,,,,,
18,minocycline,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,
