,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,Gammagard,,,,,,,,,,,,,,,,,,,
1,azathioprine,,,,,,,,,,,,,,,,,,,
2,Gamunex,,,,,,,,,,,,,,,,,,,
3,Imuran,,,,,,,,,,,,,,,,,,,
4,immune globulin intravenous,,,,,,,,,,,,,,,,,,,
5,Gamunex-C,,,,,,,,,,,,,,,,,,,
6,Betaseron,,,,,,,,,,,,,,,,,,,
7,Azasan,,,,,,,,,,,,,,,,,,,
8,immune globulin intravenous and subcutaneous,,,,,,,,,,,,,,,,,,,
9,Gammaplex,,,,,,,,,,,,,,,,,,,
10,interferon beta-1b,,,,,,,,,,,,,,,,,,,
11,Gammaked,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,
