,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,Spiriva,,,,,,,,,,,,,,,,,,,
1,Advair Diskus,,,,,,,,,,,,,,,,,,,
2,Symbicort,,,,,,,,,,,,,,,,,,,
3,albuterol,,,,,,,,,,,,,,,,,,,
4,ProAir HFA,,,,,,,,,,,,,,,,,,,
5,albuterol / ipratropium,,,,,,,,,,,,,,,,,,,
6,Atrovent,,,,,,,,,,,,,,,,,,,
7,Advair HFA,,,,,,,,,,,,,,,,,,,
8,ipratropium,,,,,,,,,,,,,,,,,,,
9,Ventolin HFA,,,,,,,,,,,,,,,,,,,
10,Brovana,,,,,,,,,,,,,,,,,,,
11,Ventolin,,,,,,,,,,,,,,,,,,,
12,Xopenex,,,,,,,,,,,,,,,,,,,
13,tiotropium,,,,,,,,,,,,,,,,,,,
14,fluticasone / salmeterol,,,,,,,,,,,,,,,,,,,
15,Proventil HFA,,,,,,,,,,,,,,,,,,,
16,Tudorza Pressair,,,,,,,,,,,,,,,,,,,
17,Combivent Respimat,,,,,,,,,,,,,,,,,,,
18,Spiriva Respimat,,,,,,,,,,,,,,,,,,,
19,budesonide / formoterol,,,,,,,,,,,,,,,,,,,
20,Daliresp,,,,,,,,,,,,,,,,,,,
21,levalbuterol,,,,,,,,,,,,,,,,,,,
22,AccuNeb,,,,,,,,,,,,,,,,,,,
23,Foradil Aerolizer,,,,,,,,,,,,,,,,,,,
24,Atrovent HFA,,,,,,,,,,,,,,,,,,,
25,formoterol,,,,,,,,,,,,,,,,,,,
26,Perforomist,,,,,,,,,,,,,,,,,,,
27,ProAir RespiClick,,,,,,,,,,,,,,,,,,,
28,Serevent Diskus,,,,,,,,,,,,,,,,,,,
29,Vospire ER,,,,,,,,,,,,,,,,,,,
30,Xopenex HFA,,,,,,,,,,,,,,,,,,,
31,aclidinium,,,,,,,,,,,,,,,,,,,
32,arformoterol,,,,,,,,,,,,,,,,,,,
33,salmeterol,,,,,,,,,,,,,,,,,,,
34,roflumilast,,,,,,,,,,,,,,,,,,,
35,Breo Ellipta,,,,,,,,,,,,,,,,,,,
36,metaproterenol,,,,,,,,,,,,,,,,,,,
37,Seebri Neohaler,,,,,,,,,,,,,,,,,,,
38,Xopenex Concentrate,,,,,,,,,,,,,,,,,,,
39,Anoro Ellipta,,,,,,,,,,,,,,,,,,,
40,Arcapta,,,,,,,,,,,,,,,,,,,
41,fluticasone / vilanterol,,,,,,,,,,,,,,,,,,,
42,glycopyrrolate / indacaterol,,,,,,,,,,,,,,,,,,,
43,glycopyrrolate,,,,,,,,,,,,,,,,,,,
44,Incruse Ellipta,,,,,,,,,,,,,,,,,,,
45,indacaterol,,,,,,,,,,,,,,,,,,,
46,olodaterol / tiotropium,,,,,,,,,,,,,,,,,,,
47,olodaterol,,,,,,,,,,,,,,,,,,,
48,Stiolto Respimat,,,,,,,,,,,,,,,,,,,
49,Striverdi Respimat,,,,,,,,,,,,,,,,,,,
50,umeclidinium / vilanterol,,,,,,,,,,,,,,,,,,,
51,umeclidinium,,,,,,,,,,,,,,,,,,,
52,Utibron Neohaler,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,,,
