,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,oxycodone,,,,,,,,,,,,,,,,,,,
1,tramadol,,,,,,,,,,,,,,,,,,,
2,OxyContin,,,,,,,,,,,,,,,,,,,
3,Dilaudid,,,,,,,,,,,,,,,,,,,
4,Cymbalta,,,,,,,,,,,,,,,,,,,
5,Roxicodone,,,,,,,,,,,,,,,,,,,
6,Percocet 10 / 325,,,,,,,,,,,,,,,,,,,
7,acetaminophen / oxycodone,,,,,,,,,,,,,,,,,,,
8,Ultram,,,,,,,,,,,,,,,,,,,
9,MS Contin,,,,,,,,,,,,,,,,,,,
10,Percocet,,,,,,,,,,,,,,,,,,,
11,Butrans,,,,,,,,,,,,,,,,,,,
12,methadone,,,,,,,,,,,,,,,,,,,
13,hydromorphone,,,,,,,,,,,,,,,,,,,
14,morphine,,,,,,,,,,,,,,,,,,,
15,Duragesic,,,,,,,,,,,,,,,,,,,
16,buprenorphine,,,,,,,,,,,,,,,,,,,
17,Endocet,,,,,,,,,,,,,,,,,,,
18,fentanyl,,,,,,,,,,,,,,,,,,,
19,Percocet 5 / 325,,,,,,,,,,,,,,,,,,,
20,Roxanol,,,,,,,,,,,,,,,,,,,
21,duloxetine,,,,,,,,,,,,,,,,,,,
22,Exalgo,,,,,,,,,,,,,,,,,,,
23,Kadian,,,,,,,,,,,,,,,,,,,
24,Roxicet,,,,,,,,,,,,,,,,,,,
25,Tylox,,,,,,,,,,,,,,,,,,,
26,Percocet 7.5 / 325,,,,,,,,,,,,,,,,,,,
27,Ultram ODT,,,,,,,,,,,,,,,,,,,
28,Rybix ODT,,,,,,,,,,,,,,,,,,,
29,Ultram ER,,,,,,,,,,,,,,,,,,,
30,ConZip,,,,,,,,,,,,,,,,,,,
31,Methadose,,,,,,,,,,,,,,,,,,,
32,Ryzolt,,,,,,,,,,,,,,,,,,,
33,Methadone Diskets,,,,,,,,,,,,,,,,,,,
34,Oramorph SR,,,,,,,,,,,,,,,,,,,
35,Oxyfast,,,,,,,,,,,,,,,,,,,
36,OxyIR,,,,,,,,,,,,,,,,,,,
37,Roxicodone Intensol,,,,,,,,,,,,,,,,,,,
38,Dazidox,,,,,,,,,,,,,,,,,,,
39,ETH-Oxydose,,,,,,,,,,,,,,,,,,,
40,Fentora,,,,,,,,,,,,,,,,,,,
41,MSIR,,,,,,,,,,,,,,,,,,,
42,Oxydose,,,,,,,,,,,,,,,,,,,
43,Abstral,,,,,,,,,,,,,,,,,,,
44,Actiq,,,,,,,,,,,,,,,,,,,
45,Arymo ER,,,,,,,,,,,,,,,,,,,
46,Astramorph PF,,,,,,,,,,,,,,,,,,,
47,Dolophine,,,,,,,,,,,,,,,,,,,
48,Duragesic-25,,,,,,,,,,,,,,,,,,,
49,Duragesic-50,,,,,,,,,,,,,,,,,,,
50,Duragesic-75,,,,,,,,,,,,,,,,,,,
51,Duragesic-100,,,,,,,,,,,,,,,,,,,
52,Duramorph,,,,,,,,,,,,,,,,,,,
53,Embeda,,,,,,,,,,,,,,,,,,,
54,Infumorph,,,,,,,,,,,,,,,,,,,
55,Ionsys,,,,,,,,,,,,,,,,,,,
56,Irenka,,,,,,,,,,,,,,,,,,,
57,Lazanda,,,,,,,,,,,,,,,,,,,
58,MorphaBond,,,,,,,,,,,,,,,,,,,
59,naloxone / pentazocine,,,,,,,,,,,,,,,,,,,
60,Oxaydo,,,,,,,,,,,,,,,,,,,
61,RMS,,,,,,,,,,,,,,,,,,,
62,Roxanol-T,,,,,,,,,,,,,,,,,,,
63,Sublimaze,,,,,,,,,,,,,,,,,,,
64,Subsys,,,,,,,,,,,,,,,,,,,
65,Talwin Nx,,,,,,,,,,,,,,,,,,,
66,Xtampza ER,,,,,,,,,,,,,,,,,,,
67,ziconotide,,,,,,,,,,,,,,,,,,,
68,Buprenex,,,,,,,,,,,,,,,,,,,
69,Dilaudid-HP,,,,,,,,,,,,,,,,,,,
70,Duragesic-12,,,,,,,,,,,,,,,,,,,
71,Magnacet,,,,,,,,,,,,,,,,,,,
72,morphine / naltrexone,,,,,,,,,,,,,,,,,,,
73,Narvox,,,,,,,,,,,,,,,,,,,
74,Palladone,,,,,,,,,,,,,,,,,,,
75,Prialt,,,,,,,,,,,,,,,,,,,
76,Xartemis XR,,,,,,,,,,,,,,,,,,,
77,Xolox,,,,,,,,,,,,,,,,,,,
78,Belbuca,,,,,,,,,,,,,,,,,,,
79,Percocet 2.5 / 325,,,,,,,,,,,,,,,,,,,
80,Perloxx,,,,,,,,,,,,,,,,,,,
81,Primlev,,,,,,,,,,,,,,,,,,,
82,Roxilox,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,,
