,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,baclofen,,,,,,,,,,,,,,,,,,,
1,Lioresal,,,,,,,,,,,,,,,,,,,
2,Dantrium,,,,,,,,,,,,,,,,,,,
3,Gablofen,,,,,,,,,,,,,,,,,,,
4,Botox,,,,,,,,,,,,,,,,,,,
5,dantrolene,,,,,,,,,,,,,,,,,,,
6,Lioresal Intrathecal,,,,,,,,,,,,,,,,,,,
7,Kemstro,,,,,,,,,,,,,,,,,,,
8,Revonto,,,,,,,,,,,,,,,,,,,
9,Dantrium Intravenous,,,,,,,,,,,,,,,,,,,
10,onabotulinumtoxinA,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,
