,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,Flagyl,,,,,,,,,,,,,,,,,,,
1,vancomycin,,,,,,,,,,,,,,,,,,,
2,metronidazole,,,,,,,,,,,,,,,,,,,
3,Dificid,,,,,,,,,,,,,,,,,,,
4,Vancocin,,,,,,,,,,,,,,,,,,,
5,fidaxomicin,,,,,,,,,,,,,,,,,,,
6,Metro,,,,,,,,,,,,,,,,,,,
7,Vancocin HCl,,,,,,,,,,,,,,,,,,,
8,Flagyl IV,,,,,,,,,,,,,,,,,,,
9,Flagyl 375,,,,,,,,,,,,,,,,,,,
10,Vancocin HCl Pulvules,,,,,,,,,,,,,,,,,,,
11,Penicillin VK,,,,,,,,,,,,,,,,,,,
12,penicillin v potassium,,,,,,,,,,,,,,,,,,,
13,penicillin g potassium,,,,,,,,,,,,,,,,,,,
14,penicillin g sodium,,,,,,,,,,,,,,,,,,,
15,Pfizerpen,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,
