,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,Zanaflex,,,,,,,,,,,,,,,,,,,
1,tizanidine,,,,,,,,,,,,,,,,,,,
2,sumatriptan,,,,,,,,,,,,,,,,,,,
3,Imitrex,,,,,,,,,,,,,,,,,,,
4,verapamil,,,,,,,,,,,,,,,,,,,
5,indomethacin,,,,,,,,,,,,,,,,,,,
6,Cafergot,,,,,,,,,,,,,,,,,,,
7,Migranal,,,,,,,,,,,,,,,,,,,
8,Calan SR,,,,,,,,,,,,,,,,,,,
9,prednisone,,,,,,,,,,,,,,,,,,,
10,Sumavel DosePro,,,,,,,,,,,,,,,,,,,
11,Indocin,,,,,,,,,,,,,,,,,,,
12,Calan,,,,,,,,,,,,,,,,,,,
13,Imitrex Statdose,,,,,,,,,,,,,,,,,,,
14,caffeine / ergotamine,,,,,,,,,,,,,,,,,,,
15,dihydroergotamine,,,,,,,,,,,,,,,,,,,
16,Imitrex Nasal,,,,,,,,,,,,,,,,,,,
17,cyproheptadine,,,,,,,,,,,,,,,,,,,
18,Alsuma,,,,,,,,,,,,,,,,,,,
19,Indocin SR,,,,,,,,,,,,,,,,,,,
20,Verelan,,,,,,,,,,,,,,,,,,,
21,Verelan PM,,,,,,,,,,,,,,,,,,,
22,lithium,,,,,,,,,,,,,,,,,,,
23,Covera-HS,,,,,,,,,,,,,,,,,,,
24,Isoptin SR,,,,,,,,,,,,,,,,,,,
25,zolmitriptan,,,,,,,,,,,,,,,,,,,
26,D.H.E. 45,,,,,,,,,,,,,,,,,,,
27,Migergot,,,,,,,,,,,,,,,,,,,
28,Indocin IV,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,
