,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,Lialda,,,,,,,,,,,,,,,,,,,
1,prednisone,,,,,,,,,,,,,,,,,,,
2,Remicade,,,,,,,,,,,,,,,,,,,
3,Asacol,,,,,,,,,,,,,,,,,,,
4,Apriso,,,,,,,,,,,,,,,,,,,
5,mesalamine,,,,,,,,,,,,,,,,,,,
6,azathioprine,,,,,,,,,,,,,,,,,,,
7,sulfasalazine,,,,,,,,,,,,,,,,,,,
8,Delzicol,,,,,,,,,,,,,,,,,,,
9,Imuran,,,,,,,,,,,,,,,,,,,
10,balsalazide,,,,,,,,,,,,,,,,,,,
11,Humira,,,,,,,,,,,,,,,,,,,
12,Asacol HD,,,,,,,,,,,,,,,,,,,
13,Canasa,,,,,,,,,,,,,,,,,,,
14,Pentasa,,,,,,,,,,,,,,,,,,,
15,Uceris,,,,,,,,,,,,,,,,,,,
16,Colazal,,,,,,,,,,,,,,,,,,,
17,budesonide,,,,,,,,,,,,,,,,,,,
18,Azulfidine,,,,,,,,,,,,,,,,,,,
19,Entyvio,,,,,,,,,,,,,,,,,,,
20,Simponi,,,,,,,,,,,,,,,,,,,
21,Sulfazine,,,,,,,,,,,,,,,,,,,
22,hydrocortisone,,,,,,,,,,,,,,,,,,,
23,clonidine,,,,,,,,,,,,,,,,,,,
24,infliximab,,,,,,,,,,,,,,,,,,,
25,Decadron,,,,,,,,,,,,,,,,,,,
26,Rowasa,,,,,,,,,,,,,,,,,,,
27,Acthar,,,,,,,,,,,,,,,,,,,
28,Dexamethasone Intensol,,,,,,,,,,,,,,,,,,,
29,mycophenolate mofetil,,,,,,,,,,,,,,,,,,,
30,Salofalk,,,,,,,,,,,,,,,,,,,
31,Cortenema,,,,,,,,,,,,,,,,,,,
32,adalimumab,,,,,,,,,,,,,,,,,,,
33,Cortifoam,,,,,,,,,,,,,,,,,,,
34,cyclosporine,,,,,,,,,,,,,,,,,,,
35,dexamethasone,,,,,,,,,,,,,,,,,,,
36,Baycadron,,,,,,,,,,,,,,,,,,,
37,corticotropin,,,,,,,,,,,,,,,,,,,
38,Dexacen-4,,,,,,,,,,,,,,,,,,,
39,Dexasone,,,,,,,,,,,,,,,,,,,
40,Giazo,,,,,,,,,,,,,,,,,,,
41,golimumab,,,,,,,,,,,,,,,,,,,
42,Neoral,,,,,,,,,,,,,,,,,,,
43,Solurex,,,,,,,,,,,,,,,,,,,
44,Solurex LA,,,,,,,,,,,,,,,,,,,
45,Zema Pak,,,,,,,,,,,,,,,,,,,
46,A-Hydrocort,,,,,,,,,,,,,,,,,,,
47,Azasan,,,,,,,,,,,,,,,,,,,
48,Azulfidine EN-tabs,,,,,,,,,,,,,,,,,,,
49,Colocort,,,,,,,,,,,,,,,,,,,
50,De-Sone LA,,,,,,,,,,,,,,,,,,,
51,Dexasone LA,,,,,,,,,,,,,,,,,,,
52,Dexpak Taperpak,,,,,,,,,,,,,,,,,,,
53,Dipentum,,,,,,,,,,,,,,,,,,,
54,Gengraf,,,,,,,,,,,,,,,,,,,
55,H.P. Acthar Gel,,,,,,,,,,,,,,,,,,,
56,Hemmorex-HC,,,,,,,,,,,,,,,,,,,
57,Hemorrhoidal HC,,,,,,,,,,,,,,,,,,,
58,Hemril-30,,,,,,,,,,,,,,,,,,,
59,Hemril-HC Uniserts,,,,,,,,,,,,,,,,,,,
60,LoCort,,,,,,,,,,,,,,,,,,,
61,Mesasal Enteric Coated,,,,,,,,,,,,,,,,,,,
62,olsalazine,,,,,,,,,,,,,,,,,,,
63,Preparation H Anti-Itch Cream Hydrocortisone 1%,,,,,,,,,,,,,,,,,,,
64,Procto-Kit 1%,,,,,,,,,,,,,,,,,,,
65,Procto-Kit 2.5%,,,,,,,,,,,,,,,,,,,
66,Procto-Med HC,,,,,,,,,,,,,,,,,,,
67,Procto-Pak 1%,,,,,,,,,,,,,,,,,,,
68,ProctoCare-HC,,,,,,,,,,,,,,,,,,,
69,Proctocort,,,,,,,,,,,,,,,,,,,
70,Proctocream-HC,,,,,,,,,,,,,,,,,,,
71,Proctosert HC,,,,,,,,,,,,,,,,,,,
72,Proctosol-HC,,,,,,,,,,,,,,,,,,,
73,Proctozone-H,,,,,,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,,,,,,,
