,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,Benadryl,,,,,,,,,,,,,,,,,,,
1,Vicks Nyquil D Cold and Flu Nighttime Relief,,,,,,,,,,,,,,,,,,,
2,diphenhydramine,,,,,,,,,,,,,,,,,,,
3,Coricidin HBP Cold & Flu,,,,,,,,,,,,,,,,,,,
4,Vicks Dayquil Daytime Cold / Flu,,,,,,,,,,,,,,,,,,,
5,Benadryl Allergy,,,,,,,,,,,,,,,,,,,
6,chlorpheniramine,,,,,,,,,,,,,,,,,,,
7,Vicks Dayquil Cold & Flu Relief,,,,,,,,,,,,,,,,,,,
8,Promethazine DM,,,,,,,,,,,,,,,,,,,
9,Tussionex Pennkinetic,,,,,,,,,,,,,,,,,,,
10,Vicks DayQuil Severe Cold & Flu,,,,,,,,,,,,,,,,,,,
11,acetaminophen / chlorpheniramine / phenylephrine,,,,,,,,,,,,,,,,,,,
12,Tylenol Cold,,,,,,,,,,,,,,,,,,,
13,Banophen,,,,,,,,,,,,,,,,,,,
14,Benadryl Allergy Plus Cold,,,,,,,,,,,,,,,,,,,
15,Actifed,,,,,,,,,,,,,,,,,,,
16,Sudafed PE Cold & Cough,,,,,,,,,,,,,,,,,,,
17,Chlor-Trimeton,,,,,,,,,,,,,,,,,,,
18,Coricidin HBP Maximum Strength Flu,,,,,,,,,,,,,,,,,,,
19,Benadryl Children's Allergy,,,,,,,,,,,,,,,,,,,
20,pseudoephedrine / triprolidine,,,,,,,,,,,,,,,,,,,
21,Cheratussin DAC,,,,,,,,,,,,,,,,,,,
22,TussiCaps,,,,,,,,,,,,,,,,,,,
23,Tylenol Cold Multi-Symptom Severe,,,,,,,,,,,,,,,,,,,
24,Vicks NyQuil Severe Cold & Flu,,,,,,,,,,,,,,,,,,,
25,acetaminophen / dextromethorphan / doxylamine / pseudoephedrine,,,,,,,,,,,,,,,,,,,
26,Benadryl Allergy Plus Sinus Headache,,,,,,,,,,,,,,,,,,,
27,Diphedryl,,,,,,,,,,,,,,,,,,,
28,Primatene,,,,,,,,,,,,,,,,,,,
29,Sudafed PE Sinus & Allergy,,,,,,,,,,,,,,,,,,,
30,Tylenol Cold & Flu Severe,,,,,,,,,,,,,,,,,,,
31,Aprodine,,,,,,,,,,,,,,,,,,,
32,Complete Allergy Relief,,,,,,,,,,,,,,,,,,,
33,dexbrompheniramine / pseudoephedrine,,,,,,,,,,,,,,,,,,,
34,Robitussin Cold Cough and Flu,,,,,,,,,,,,,,,,,,,
35,Theraflu Nighttime Severe Cold & Cough,,,,,,,,,,,,,,,,,,,
36,Virtussin DAC,,,,,,,,,,,,,,,,,,,
37,Allermax,,,,,,,,,,,,,,,,,,,
38,Ben-Tann,,,,,,,,,,,,,,,,,,,
39,chlorpheniramine / hydrocodone,,,,,,,,,,,,,,,,,,,
40,Dicopanol,,,,,,,,,,,,,,,,,,,
41,Diphenhist,,,,,,,,,,,,,,,,,,,
42,Dytan,,,,,,,,,,,,,,,,,,,
43,Dytuss,,,,,,,,,,,,,,,,,,,
44,Scot-Tussin Allergy,,,,,,,,,,,,,,,,,,,
45,Silphen Cough,,,,,,,,,,,,,,,,,,,
46,Sudafed PE Severe Cold,,,,,,,,,,,,,,,,,,,
47,Twilite,,,,,,,,,,,,,,,,,,,
48,Tylenol Cold Max Day,,,,,,,,,,,,,,,,,,,
49,Valu-Dryl,,,,,,,,,,,,,,,,,,,
50,Vicks NyQuil Cold & Flu Nighttime Relief (Alcohol Free),,,,,,,,,,,,,,,,,,,
51,acetaminophen / chlorpheniramine / dextromethorphan / pseudoephedrine,,,,,,,,,,,,,,,,,,,
52,acetaminophen / chlorpheniramine,,,,,,,,,,,,,,,,,,,
53,acetaminophen / dextromethorphan / phenylephrine,,,,,,,,,,,,,,,,,,,
