,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,barium sulfate,,,,,,,,,,,,,,,,,,,
1,Readi-Cat,,,,,,,,,,,,,,,,,,,
2,Volumen,,,,,,,,,,,,,,,,,,,
3,Smoothie Readi-Cat 2,,,,,,,,,,,,,,,,,,,
4,Readi-Cat 2,,,,,,,,,,,,,,,,,,,
5,Visipaque,,,,,,,,,,,,,,,,,,,
6,Anatrast,,,,,,,,,,,,,,,,,,,
7,Tagitol V,,,,,,,,,,,,,,,,,,,
8,E-Z Disk,,,,,,,,,,,,,,,,,,,
9,Ultravist,,,,,,,,,,,,,,,,,,,
10,iodixanol,,,,,,,,,,,,,,,,,,,
11,DaTscan,,,,,,,,,,,,,,,,,,,
12,E-Z-Paque,,,,,,,,,,,,,,,,,,,
13,Barosperse,,,,,,,,,,,,,,,,,,,
14,Digibar 190,,,,,,,,,,,,,,,,,,,
15,E-Z-Cat,,,,,,,,,,,,,,,,,,,
16,Entero VU,,,,,,,,,,,,,,,,,,,
17,Intropaste,,,,,,,,,,,,,,,,,,,
18,ioflupane I 123,,,,,,,,,,,,,,,,,,,
19,Liquid E-Z Paque,,,,,,,,,,,,,,,,,,,
20,Maxibar,,,,,,,,,,,,,,,,,,,
21,Polibar ACB,,,,,,,,,,,,,,,,,,,
22,Baricon,,,,,,,,,,,,,,,,,,,
23,E-Z-Cat Dry,,,,,,,,,,,,,,,,,,,
24,E-Z-HD,,,,,,,,,,,,,,,,,,,
25,Sitzmarks,,,,,,,,,,,,,,,,,,,
26,Entrobar,,,,,,,,,,,,,,,,,,,
27,iopromide,,,,,,,,,,,,,,,,,,,
28,Scan C,,,,,,,,,,,,,,,,,,,
29,Tomocat,,,,,,,,,,,,,,,,,,,
30,Bar-Test,,,,,,,,,,,,,,,,,,,
31,Baro-Cat,,,,,,,,,,,,,,,,,,,
32,Barobag,,,,,,,,,,,,,,,,,,,
33,CheeTah,,,,,,,,,,,,,,,,,,,
34,E-Z Dose Kit with Polibar Plus,,,,,,,,,,,,,,,,,,,
35,E-Z Paste,,,,,,,,,,,,,,,,,,,
36,Entero-H,,,,,,,,,,,,,,,,,,,
37,Entroease,,,,,,,,,,,,,,,,,,,
38,Esobar,,,,,,,,,,,,,,,,,,,
39,Esopho-Cat,,,,,,,,,,,,,,,,,,,
40,Flo-Coat,,,,,,,,,,,,,,,,,,,
41,HD 85,,,,,,,,,,,,,,,,,,,
42,HD 200 Plus,,,,,,,,,,,,,,,,,,,
43,Medebar Plus,,,,,,,,,,,,,,,,,,,
44,Polibar Plus,,,,,,,,,,,,,,,,,,,
45,Prepcat,,,,,,,,,,,,,,,,,,,
46,SilQ Vanilla,,,,,,,,,,,,,,,,,,,
47,Sol-O-Pake,,,,,,,,,,,,,,,,,,,
48,Tonopaque,,,,,,,,,,,,,,,,,,,
49,Ultra R,,,,,,,,,,,,,,,,,,,
50,Varibar,,,,,,,,,,,,,,,,,,,
51,Varibar Honey,,,,,,,,,,,,,,,,,,,
52,Varibar Nectar,,,,,,,,,,,,,,,,,,,
53,Varibar Pudding,,,,,,,,,,,,,,,,,,,
54,Varibar Thin,,,,,,,,,,,,,,,,,,,
55,Varibar Thin Honey,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,,,
