,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,Zaditor,,,,,,,,,,,,,,,,,,,
1,ketotifen,,,,,,,,,,,,,,,,,,,
2,Alaway,,,,,,,,,,,,,,,,,,,
3,Bepreve,,,,,,,,,,,,,,,,,,,
4,Optivar,,,,,,,,,,,,,,,,,,,
5,azelastine,,,,,,,,,,,,,,,,,,,
6,Elestat,,,,,,,,,,,,,,,,,,,
7,Lastacaft,,,,,,,,,,,,,,,,,,,
8,cromolyn,,,,,,,,,,,,,,,,,,,
9,Alocril,,,,,,,,,,,,,,,,,,,
10,Zyrtec Itchy Eye Drops,,,,,,,,,,,,,,,,,,,
11,prednisone,,,,,,,,,,,,,,,,,,,
12,epinastine,,,,,,,,,,,,,,,,,,,
13,nedocromil,,,,,,,,,,,,,,,,,,,
14,Emadine,,,,,,,,,,,,,,,,,,,
15,bepotastine,,,,,,,,,,,,,,,,,,,
16,Crolom,,,,,,,,,,,,,,,,,,,
17,alcaftadine,,,,,,,,,,,,,,,,,,,
18,Palgic,,,,,,,,,,,,,,,,,,,
19,Claritin Eye,,,,,,,,,,,,,,,,,,,
20,doxylamine,,,,,,,,,,,,,,,,,,,
21,Equate Sleep Aid,,,,,,,,,,,,,,,,,,,
22,Arbinoxa,,,,,,,,,,,,,,,,,,,
23,carbinoxamine,,,,,,,,,,,,,,,,,,,
24,emedastine,,,,,,,,,,,,,,,,,,,
25,Medi-Sleep,,,,,,,,,,,,,,,,,,,
26,Pediatex,,,,,,,,,,,,,,,,,,,
27,prednisolone,,,,,,,,,,,,,,,,,,,
28,Unisom SleepTabs,,,,,,,,,,,,,,,,,,,
29,Aldex AN,,,,,,,,,,,,,,,,,,,
30,Aldex AN Chewable,,,,,,,,,,,,,,,,,,,
31,Carboxine,,,,,,,,,,,,,,,,,,,
32,Care One Sleep Aid,,,,,,,,,,,,,,,,,,,
33,Doxytex,,,,,,,,,,,,,,,,,,,
34,Equaline Sleep Aid,,,,,,,,,,,,,,,,,,,
35,Histex CT,,,,,,,,,,,,,,,,,,,
36,Histex IE,,,,,,,,,,,,,,,,,,,
37,Histex PD,,,,,,,,,,,,,,,,,,,
38,Histex PD Drops,,,,,,,,,,,,,,,,,,,
39,Histex Syrup,,,,,,,,,,,,,,,,,,,
40,Karbinal ER,,,,,,,,,,,,,,,,,,,
41,Pediox,,,,,,,,,,,,,,,,,,,
42,Ryvent,,,,,,,,,,,,,,,,,,,
43,Tripohist,,,,,,,,,,,,,,,,,,,
44,triprolidine,,,,,,,,,,,,,,,,,,,
45,Vanahist PD,,,,,,,,,,,,,,,,,,,
46,Zymine,,,,,,,,,,,,,,,,,,,
47,Zymine XR,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,,,
