,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,Linzess,,,,,,,,,,,,,,,,,,,
1,Amitiza,,,,,,,,,,,,,,,,,,,
2,lactulose,,,,,,,,,,,,,,,,,,,
3,Generlac,,,,,,,,,,,,,,,,,,,
4,Enulose,,,,,,,,,,,,,,,,,,,
5,Relistor,,,,,,,,,,,,,,,,,,,
6,GoLYTELY,,,,,,,,,,,,,,,,,,,
7,Constulose,,,,,,,,,,,,,,,,,,,
8,Kristalose,,,,,,,,,,,,,,,,,,,
9,polyethylene glycol 3350 with electrolytes,,,,,,,,,,,,,,,,,,,
10,colchicine,,,,,,,,,,,,,,,,,,,
11,linaclotide,,,,,,,,,,,,,,,,,,,
12,MoviPrep,,,,,,,,,,,,,,,,,,,
13,lubiprostone,,,,,,,,,,,,,,,,,,,
14,methylnaltrexone,,,,,,,,,,,,,,,,,,,
15,PEG-3350 with Electolytes,,,,,,,,,,,,,,,,,,,
16,GaviLyte-N,,,,,,,,,,,,,,,,,,,
17,Colyte,,,,,,,,,,,,,,,,,,,
18,Movantik,,,,,,,,,,,,,,,,,,,
19,Suclear,,,,,,,,,,,,,,,,,,,
20,TriLyte,,,,,,,,,,,,,,,,,,,
21,GaviLyte-C,,,,,,,,,,,,,,,,,,,
22,GaviLyte-G,,,,,,,,,,,,,,,,,,,
23,naloxegol,,,,,,,,,,,,,,,,,,,
24,NuLYTELY,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,
