,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,Humira,,,,,,,,,,,,,,,,,,,
1,Pentasa,,,,,,,,,,,,,,,,,,,
2,Remicade,,,,,,,,,,,,,,,,,,,
3,Entocort EC,,,,,,,,,,,,,,,,,,,
4,Imuran,,,,,,,,,,,,,,,,,,,
5,Asacol,,,,,,,,,,,,,,,,,,,
6,Lialda,,,,,,,,,,,,,,,,,,,
7,azathioprine,,,,,,,,,,,,,,,,,,,
8,Apriso,,,,,,,,,,,,,,,,,,,
9,budesonide,,,,,,,,,,,,,,,,,,,
10,Cimzia,,,,,,,,,,,,,,,,,,,
11,mesalamine,,,,,,,,,,,,,,,,,,,
12,Cipro,,,,,,,,,,,,,,,,,,,
13,hyoscyamine,,,,,,,,,,,,,,,,,,,
14,sulfasalazine,,,,,,,,,,,,,,,,,,,
15,Asacol HD,,,,,,,,,,,,,,,,,,,
16,Topamax,,,,,,,,,,,,,,,,,,,
17,ciprofloxacin,,,,,,,,,,,,,,,,,,,
18,Entyvio,,,,,,,,,,,,,,,,,,,
19,Questran,,,,,,,,,,,,,,,,,,,
20,Levsin,,,,,,,,,,,,,,,,,,,
21,Canasa,,,,,,,,,,,,,,,,,,,
22,cholestyramine,,,,,,,,,,,,,,,,,,,
23,balsalazide,,,,,,,,,,,,,,,,,,,
24,infliximab,,,,,,,,,,,,,,,,,,,
25,adalimumab,,,,,,,,,,,,,,,,,,,
26,Colazal,,,,,,,,,,,,,,,,,,,
27,topiramate,,,,,,,,,,,,,,,,,,,
28,Cholestyramine Light,,,,,,,,,,,,,,,,,,,
29,Cipro I.V.,,,,,,,,,,,,,,,,,,,
30,Levbid,,,,,,,,,,,,,,,,,,,
31,Cipro XR,,,,,,,,,,,,,,,,,,,
32,Levsin SL,,,,,,,,,,,,,,,,,,,
33,rifaximin,,,,,,,,,,,,,,,,,,,
34,Salofalk,,,,,,,,,,,,,,,,,,,
35,Topiragen,,,,,,,,,,,,,,,,,,,
36,Azasan,,,,,,,,,,,,,,,,,,,
37,certolizumab,,,,,,,,,,,,,,,,,,,
38,Neoral,,,,,,,,,,,,,,,,,,,
39,Topamax Sprinkle,,,,,,,,,,,,,,,,,,,
40,Anaspaz,,,,,,,,,,,,,,,,,,,
41,cyclosporine,,,,,,,,,,,,,,,,,,,
42,Gengraf,,,,,,,,,,,,,,,,,,,
43,HyoMax,,,,,,,,,,,,,,,,,,,
44,Prevalite,,,,,,,,,,,,,,,,,,,
45,Rowasa,,,,,,,,,,,,,,,,,,,
46,vedolizumab,,,,,,,,,,,,,,,,,,,
47,A-Spaz,,,,,,,,,,,,,,,,,,,
48,Colidrops,,,,,,,,,,,,,,,,,,,
49,Cystospaz,,,,,,,,,,,,,,,,,,,
50,Ed-Spaz,,,,,,,,,,,,,,,,,,,
51,HyoMax DT,,,,,,,,,,,,,,,,,,,
52,HyoMax SL,,,,,,,,,,,,,,,,,,,
53,HyoMax SR,,,,,,,,,,,,,,,,,,,
54,Hyospaz,,,,,,,,,,,,,,,,,,,
55,Hyosyne,,,,,,,,,,,,,,,,,,,
56,IB-Stat,,,,,,,,,,,,,,,,,,,
57,Mesasal Enteric Coated,,,,,,,,,,,,,,,,,,,
58,mycophenolate mofetil,,,,,,,,,,,,,,,,,,,
59,NuLev,,,,,,,,,,,,,,,,,,,
60,Oscimin,,,,,,,,,,,,,,,,,,,
61,Questran Light,,,,,,,,,,,,,,,,,,,
62,Sandimmune,,,,,,,,,,,,,,,,,,,
63,Spasdel,,,,,,,,,,,,,,,,,,,
64,Symax Duotab,,,,,,,,,,,,,,,,,,,
65,tacrolimus,,,,,,,,,,,,,,,,,,,
66,Canasa Pac,,,,,,,,,,,,,,,,,,,
67,HyoMax FT,,,,,,,,,,,,,,,,,,,
68,Levsinex,,,,,,,,,,,,,,,,,,,
69,Levsinex SR,,,,,,,,,,,,,,,,,,,
70,Symax FasTab,,,,,,,,,,,,,,,,,,,
71,Symax SL,,,,,,,,,,,,,,,,,,,
72,Symax SR,,,,,,,,,,,,,,,,,,,
73,Amjevita,,,,,,,,,,,,,,,,,,,
74,Inflectra,,,,,,,,,,,,,,,,,,,
75,Stelara,,,,,,,,,,,,,,,,,,,
76,ustekinumab,,,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,,,,
