,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,Lotemax,,,,,,,,,,,,,,,,,,,
1,Alrex,,,,,,,,,,,,,,,,,,,
2,loteprednol,,,,,,,,,,,,,,,,,,,
3,Zylet,,,,,,,,,,,,,,,,,,,
4,dexamethasone,,,,,,,,,,,,,,,,,,,
5,loteprednol / tobramycin,,,,,,,,,,,,,,,,,,,
6,Maxidex,,,,,,,,,,,,,,,,,,,
7,Ocu-Dex,,,,,,,,,,,,,,,,,,,
8,AK-Dex,,,,,,,,,,,,,,,,,,,
9,Dexasol,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,
