,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,Pulmozyme,,,,,,,,,,,,,,,,,,,
1,Creon,,,,,,,,,,,,,,,,,,,
2,Kalydeco,,,,,,,,,,,,,,,,,,,
3,azithromycin,,,,,,,,,,,,,,,,,,,
4,Cayston,,,,,,,,,,,,,,,,,,,
5,Tobi,,,,,,,,,,,,,,,,,,,
6,Zenpep,,,,,,,,,,,,,,,,,,,
7,Zithromax,,,,,,,,,,,,,,,,,,,
8,tobramycin,,,,,,,,,,,,,,,,,,,
9,dornase alfa,,,,,,,,,,,,,,,,,,,
10,Amikin,,,,,,,,,,,,,,,,,,,
11,Azithromycin Dose Pack,,,,,,,,,,,,,,,,,,,
12,vitamin e,,,,,,,,,,,,,,,,,,,
13,Pancreaze,,,,,,,,,,,,,,,,,,,
14,pancrelipase,,,,,,,,,,,,,,,,,,,
15,Garamycin,,,,,,,,,,,,,,,,,,,
16,Orkambi,,,,,,,,,,,,,,,,,,,
17,amikacin,,,,,,,,,,,,,,,,,,,
18,ivacaftor,,,,,,,,,,,,,,,,,,,
19,Zmax,,,,,,,,,,,,,,,,,,,
20,Nebcin,,,,,,,,,,,,,,,,,,,
21,Viokase,,,,,,,,,,,,,,,,,,,
22,aztreonam,,,,,,,,,,,,,,,,,,,
23,Bethkis,,,,,,,,,,,,,,,,,,,
24,gentamicin,,,,,,,,,,,,,,,,,,,
25,Pertzye,,,,,,,,,,,,,,,,,,,
26,TOBI Podhaler,,,,,,,,,,,,,,,,,,,
27,Ultresa,,,,,,,,,,,,,,,,,,,
28,Azactam,,,,,,,,,,,,,,,,,,,
29,Pancrease MT,,,,,,,,,,,,,,,,,,,
30,pancreatin,,,,,,,,,,,,,,,,,,,
31,Alpha E,,,,,,,,,,,,,,,,,,,
32,Amikin Pediatric,,,,,,,,,,,,,,,,,,,
33,Aqua Gem-E,,,,,,,,,,,,,,,,,,,
34,Aquasol E,,,,,,,,,,,,,,,,,,,
35,Kitabis Pak,,,,,,,,,,,,,,,,,,,
36,Nutr-E-Sol,,,,,,,,,,,,,,,,,,,
37,Viokace,,,,,,,,,,,,,,,,,,,
38,Aqua-E,,,,,,,,,,,,,,,,,,,
39,Aquavite-E,,,,,,,,,,,,,,,,,,,
40,Dygase,,,,,,,,,,,,,,,,,,,
41,E-400 Clear,,,,,,,,,,,,,,,,,,,
42,E-600,,,,,,,,,,,,,,,,,,,
43,E-Gems,,,,,,,,,,,,,,,,,,,
44,Hi-Vegi-Lip,,,,,,,,,,,,,,,,,,,
45,ivacaftor / lumacaftor,,,,,,,,,,,,,,,,,,,
46,Lapase,,,,,,,,,,,,,,,,,,,
47,Lipram UL,,,,,,,,,,,,,,,,,,,
48,Pan-2400,,,,,,,,,,,,,,,,,,,
49,Pancreatin 4X,,,,,,,,,,,,,,,,,,,
50,Pancrecarb MS,,,,,,,,,,,,,,,,,,,
51,Pangestyme CN 10,,,,,,,,,,,,,,,,,,,
52,Pangestyme EC,,,,,,,,,,,,,,,,,,,
53,Panocaps,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,,,
