,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,testosterone,,,,,,,,,,,,,,,,,,,
1,Depo-Testosterone,,,,,,,,,,,,,,,,,,,
2,Testopel,,,,,,,,,,,,,,,,,,,
3,Delatestryl,,,,,,,,,,,,,,,,,,,
4,Halotestin,,,,,,,,,,,,,,,,,,,
5,Testro AQ,,,,,,,,,,,,,,,,,,,
6,Android,,,,,,,,,,,,,,,,,,,
7,Androxy,,,,,,,,,,,,,,,,,,,
8,fluoxymesterone,,,,,,,,,,,,,,,,,,,
9,Methitest,,,,,,,,,,,,,,,,,,,
10,methyltestosterone,,,,,,,,,,,,,,,,,,,
11,Testred,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,
