,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,dapsone,,,,,,,,,,,,,,,,,,,
1,Decadron,,,,,,,,,,,,,,,,,,,
2,dexamethasone,,,,,,,,,,,,,,,,,,,
3,prednisone,,,,,,,,,,,,,,,,,,,
4,Dexamethasone Intensol,,,,,,,,,,,,,,,,,,,
5,Dexasone,,,,,,,,,,,,,,,,,,,
6,Dexpak Taperpak,,,,,,,,,,,,,,,,,,,
7,Baycadron,,,,,,,,,,,,,,,,,,,
8,De-Sone LA,,,,,,,,,,,,,,,,,,,
9,Dexasone LA,,,,,,,,,,,,,,,,,,,
10,Dexacen-4,,,,,,,,,,,,,,,,,,,
11,Solurex,,,,,,,,,,,,,,,,,,,
12,Solurex LA,,,,,,,,,,,,,,,,,,,
13,Zema Pak,,,,,,,,,,,,,,,,,,,
14,LoCort,,,,,,,,,,,,,,,,,,,
15,Zonacort,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,
