,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,triamcinolone,,,,,,,,,,,,,,,,,,,
1,Protopic,,,,,,,,,,,,,,,,,,,
2,clobetasol,,,,,,,,,,,,,,,,,,,
3,Clobex,,,,,,,,,,,,,,,,,,,
4,Elidel,,,,,,,,,,,,,,,,,,,
5,betamethasone,,,,,,,,,,,,,,,,,,,
6,Elocon,,,,,,,,,,,,,,,,,,,
7,fluocinonide,,,,,,,,,,,,,,,,,,,
8,Topicort,,,,,,,,,,,,,,,,,,,
9,Kenalog,,,,,,,,,,,,,,,,,,,
10,hydrocortisone,,,,,,,,,,,,,,,,,,,
11,prednisone,,,,,,,,,,,,,,,,,,,
12,mometasone,,,,,,,,,,,,,,,,,,,
13,Medrol Dosepak,,,,,,,,,,,,,,,,,,,
14,MethylPREDNISolone Dose Pack,,,,,,,,,,,,,,,,,,,
15,desonide,,,,,,,,,,,,,,,,,,,
16,fluocinolone,,,,,,,,,,,,,,,,,,,
17,tacrolimus,,,,,,,,,,,,,,,,,,,
18,fluticasone,,,,,,,,,,,,,,,,,,,
19,Dexamethasone Intensol,,,,,,,,,,,,,,,,,,,
20,Diprolene,,,,,,,,,,,,,,,,,,,
21,desoximetasone,,,,,,,,,,,,,,,,,,,
22,methylprednisolone,,,,,,,,,,,,,,,,,,,
23,Decadron,,,,,,,,,,,,,,,,,,,
24,dexamethasone,,,,,,,,,,,,,,,,,,,
25,Cutivate,,,,,,,,,,,,,,,,,,,
26,Imuran,,,,,,,,,,,,,,,,,,,
27,Temovate,,,,,,,,,,,,,,,,,,,
28,Fluocinonide-E,,,,,,,,,,,,,,,,,,,
29,azathioprine,,,,,,,,,,,,,,,,,,,
30,Betnovate,,,,,,,,,,,,,,,,,,,
31,pimecrolimus,,,,,,,,,,,,,,,,,,,
32,Cortizone-10,,,,,,,,,,,,,,,,,,,
33,Vanos,,,,,,,,,,,,,,,,,,,
34,Synalar,,,,,,,,,,,,,,,,,,,
35,Westcort,,,,,,,,,,,,,,,,,,,
36,Aclovate,,,,,,,,,,,,,,,,,,,
37,alclometasone,,,,,,,,,,,,,,,,,,,
38,Cloderm,,,,,,,,,,,,,,,,,,,
39,halobetasol,,,,,,,,,,,,,,,,,,,
40,Triderm,,,,,,,,,,,,,,,,,,,
41,Valisone,,,,,,,,,,,,,,,,,,,
42,Aristocort A,,,,,,,,,,,,,,,,,,,
43,Aristocort R,,,,,,,,,,,,,,,,,,,
44,Baycadron,,,,,,,,,,,,,,,,,,,
45,Capex,,,,,,,,,,,,,,,,,,,
46,Cinolar,,,,,,,,,,,,,,,,,,,
47,Cortaid Maximum Strength,,,,,,,,,,,,,,,,,,,
48,DermacinRx Trizapak,,,,,,,,,,,,,,,,,,,
49,Dermovate,,,,,,,,,,,,,,,,,,,
50,Desonate,,,,,,,,,,,,,,,,,,,
51,Diprosone,,,,,,,,,,,,,,,,,,,
52,flurandrenolide,,,,,,,,,,,,,,,,,,,
53,Juulissa Pharmapak,,,,,,,,,,,,,,,,,,,
54,Locoid,,,,,,,,,,,,,,,,,,,
55,Locoid Lipocream,,,,,,,,,,,,,,,,,,,
56,Luxiq,,,,,,,,,,,,,,,,,,,
57,Olux,,,,,,,,,,,,,,,,,,,
58,Pediaderm TA,,,,,,,,,,,,,,,,,,,
59,prednicarbate,,,,,,,,,,,,,,,,,,,
60,Triacet,,,,,,,,,,,,,,,,,,,
61,Trianex,,,,,,,,,,,,,,,,,,,
62,Zema Pak,,,,,,,,,,,,,,,,,,,
63,Zonalon,,,,,,,,,,,,,,,,,,,
64,Ala-Cort,,,,,,,,,,,,,,,,,,,
65,Ala-Scalp,,,,,,,,,,,,,,,,,,,
66,Ala-Scalp HP,,,,,,,,,,,,,,,,,,,
67,Alphatrex,,,,,,,,,,,,,,,,,,,
68,amcinonide,,,,,,,,,,,,,,,,,,,
69,Aqua Glycolic HC,,,,,,,,,,,,,,,,,,,
70,Aquanil HC,,,,,,,,,,,,,,,,,,,
71,Azasan,,,,,,,,,,,,,,,,,,,
72,Beta-Val,,,,,,,,,,,,,,,,,,,
73,Betacort,,,,,,,,,,,,,,,,,,,
74,Beta HC,,,,,,,,,,,,,,,,,,,
75,Betamethacot,,,,,,,,,,,,,,,,,,,
76,Bioelements Immediate Comfort,,,,,,,,,,,,,,,,,,,
77,Caldecort,,,,,,,,,,,,,,,,,,,
78,Cetacort,,,,,,,,,,,,,,,,,,,
79,Clobevate,,,,,,,,,,,,,,,,,,,
80,Clodan,,,,,,,,,,,,,,,,,,,
81,Cordran,,,,,,,,,,,,,,,,,,,
82,Cordran Tape,,,,,,,,,,,,,,,,,,,
83,Cormax,,,,,,,,,,,,,,,,,,,
84,Cormax Scalp,,,,,,,,,,,,,,,,,,,
85,Cortaid,,,,,,,,,,,,,,,,,,,
86,Corticaine,,,,,,,,,,,,,,,,,,,
87,Cortizone-5,,,,,,,,,,,,,,,,,,,
88,Cotacort,,,,,,,,,,,,,,,,,,,
89,Cyclocort,,,,,,,,,,,,,,,,,,,
90,De-Sone LA,,,,,,,,,,,,,,,,,,,
91,Del-Beta,,,,,,,,,,,,,,,,,,,
92,Derma-Smoothe / FS,,,,,,,,,,,,,,,,,,,
93,Dermarest Plus Anti-Itch,,,,,,,,,,,,,,,,,,,
94,Dermasorb HC,,,,,,,,,,,,,,,,,,,
95,Dermtex HC,,,,,,,,,,,,,,,,,,,
96,DesOwen,,,,,,,,,,,,,,,,,,,
97,Dexacen-4,,,,,,,,,,,,,,,,,,,
98,Dexasone,,,,,,,,,,,,,,,,,,,
99,Dexasone LA,,,,,,,,,,,,,,,,,,,
100,Dexpak Taperpak,,,,,,,,,,,,,,,,,,,
101,diflorasone,,,,,,,,,,,,,,,,,,,
102,Diprolene AF,,,,,,,,,,,,,,,,,,,
103,doxepin,,,,,,,,,,,,,,,,,,,
104,Embeline,,,,,,,,,,,,,,,,,,,
105,Embeline E,,,,,,,,,,,,,,,,,,,
106,Gly-Cort,,,,,,,,,,,,,,,,,,,
107,Halog,,,,,,,,,,,,,,,,,,,
108,Hydrocortisone with Aloe,,,,,,,,,,,,,,,,,,,
109,Hytone,,,,,,,,,,,,,,,,,,,
110,Instacort,,,,,,,,,,,,,,,,,,,
111,Itch-X Lotion,,,,,,,,,,,,,,,,,,,
112,Keratol HC,,,,,,,,,,,,,,,,,,,
113,Lacticare-HC,,,,,,,,,,,,,,,,,,,
114,NuCort,,,,,,,,,,,,,,,,,,,
115,Nutracort,,,,,,,,,,,,,,,,,,,
116,Olux-E,,,,,,,,,,,,,,,,,,,
117,Olux / Olux-E Kit,,,,,,,,,,,,,,,,,,,
118,Pandel,,,,,,,,,,,,,,,,,,,
119,Pediaderm HC,,,,,,,,,,,,,,,,,,,
120,pramoxine,,,,,,,,,,,,,,,,,,,
121,Prudoxin,,,,,,,,,,,,,,,,,,,
122,Recort Plus,,,,,,,,,,,,,,,,,,,
123,Sarnol-HC,,,,,,,,,,,,,,,,,,,
124,Scalacort,,,,,,,,,,,,,,,,,,,
125,Scalp-Cort,,,,,,,,,,,,,,,,,,,
126,Scalpicin,,,,,,,,,,,,,,,,,,,
127,Solurex,,,,,,,,,,,,,,,,,,,
128,Solurex LA,,,,,,,,,,,,,,,,,,,
129,Temovate E,,,,,,,,,,,,,,,,,,,
130,Texacort,,,,,,,,,,,,,,,,,,,
131,Tridesilon,,,,,,,,,,,,,,,,,,,
132,U-Cort,,,,,,,,,,,,,,,,,,,
133,Verdeso,,,,,,,,,,,,,,,,,,,
134,aloe polysaccharides / iodoquinol,,,,,,,,,,,,,,,,,,,
135,Aloquin,,,,,,,,,,,,,,,,,,,
136,ammonium lactate / halobetasol,,,,,,,,,,,,,,,,,,,
137,Apexicon,,,,,,,,,,,,,,,,,,,
138,ApexiCon E,,,,,,,,,,,,,,,,,,,
139,clocortolone,,,,,,,,,,,,,,,,,,,
140,Cordran SP,,,,,,,,,,,,,,,,,,,
141,crisaborole,,,,,,,,,,,,,,,,,,,
142,Curasore,,,,,,,,,,,,,,,,,,,
143,Derma-Smoothe / FS (Scalp),,,,,,,,,,,,,,,,,,,
144,Dermatop,,,,,,,,,,,,,,,,,,,
145,Dupixent,,,,,,,,,,,,,,,,,,,
146,Eucrisa,,,,,,,,,,,,,,,,,,,
147,Florone,,,,,,,,,,,,,,,,,,,
148,Flurosyn,,,,,,,,,,,,,,,,,,,
149,halcinonide,,,,,,,,,,,,,,,,,,,
150,Halog-E,,,,,,,,,,,,,,,,,,,
151,Halonate,,,,,,,,,,,,,,,,,,,
152,LoKara,,,,,,,,,,,,,,,,,,,
153,Maxiflor,,,,,,,,,,,,,,,,,,,
154,Prax Wipe,,,,,,,,,,,,,,,,,,,
155,Psorcon,,,,,,,,,,,,,,,,,,,
156,Psorcon E,,,,,,,,,,,,,,,,,,,
157,Synalar Ointment,,,,,,,,,,,,,,,,,,,
158,Synalar TS,,,,,,,,,,,,,,,,,,,
159,Ultravate,,,,,,,,,,,,,,,,,,,
160,Ultravate PAC,,,,,,,,,,,,,,,,,,,
161,Ultravate Pack Ointment,,,,,,,,,,,,,,,,,,,
162,,,,,,,,,,,,,,,,,,,,
