,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,triamcinolone,,,,,,,,,,,,,,,,,,,
1,clobetasol,,,,,,,,,,,,,,,,,,,
2,Clobex,,,,,,,,,,,,,,,,,,,
3,betamethasone,,,,,,,,,,,,,,,,,,,
4,Kenalog,,,,,,,,,,,,,,,,,,,
5,hydrocortisone,,,,,,,,,,,,,,,,,,,
6,fluocinonide,,,,,,,,,,,,,,,,,,,
7,Elocon,,,,,,,,,,,,,,,,,,,
8,Diprolene,,,,,,,,,,,,,,,,,,,
9,desonide,,,,,,,,,,,,,,,,,,,
10,Kenalog-40,,,,,,,,,,,,,,,,,,,
11,mometasone,,,,,,,,,,,,,,,,,,,
12,prednisolone,,,,,,,,,,,,,,,,,,,
13,Betnovate,,,,,,,,,,,,,,,,,,,
14,fluocinolone,,,,,,,,,,,,,,,,,,,
15,Topicort,,,,,,,,,,,,,,,,,,,
16,Aclovate,,,,,,,,,,,,,,,,,,,
17,desoximetasone,,,,,,,,,,,,,,,,,,,
18,Prelone,,,,,,,,,,,,,,,,,,,
19,Analpram-HC,,,,,,,,,,,,,,,,,,,
20,Temovate,,,,,,,,,,,,,,,,,,,
21,Cloderm,,,,,,,,,,,,,,,,,,,
22,Diprosone,,,,,,,,,,,,,,,,,,,
23,Fluocinonide-E,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,
