,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,prednisone,,,,,,,,,,,,,,,,,,,
1,Plaquenil,,,,,,,,,,,,,,,,,,,
2,methotrexate,,,,,,,,,,,,,,,,,,,
3,hydroxychloroquine,,,,,,,,,,,,,,,,,,,
4,azathioprine,,,,,,,,,,,,,,,,,,,
5,Myfortic,,,,,,,,,,,,,,,,,,,
6,mycophenolate mofetil,,,,,,,,,,,,,,,,,,,
7,Trexall,,,,,,,,,,,,,,,,,,,
8,mycophenolic acid,,,,,,,,,,,,,,,,,,,
9,Cortone Acetate,,,,,,,,,,,,,,,,,,,
10,cyclophosphamide,,,,,,,,,,,,,,,,,,,
11,cortisone,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,
