,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,hydrochlorothiazide,,,,,,,,,,,,,,,,,,,
1,desmopressin,,,,,,,,,,,,,,,,,,,
2,DDAVP,,,,,,,,,,,,,,,,,,,
3,Microzide,,,,,,,,,,,,,,,,,,,
4,Minirin,,,,,,,,,,,,,,,,,,,
5,Pitressin,,,,,,,,,,,,,,,,,,,
6,DDAVP Nasal,,,,,,,,,,,,,,,,,,,
7,Esidrix,,,,,,,,,,,,,,,,,,,
8,Aquazide H,,,,,,,,,,,,,,,,,,,
9,vasopressin,,,,,,,,,,,,,,,,,,,
10,DDAVP Rhinal Tube,,,,,,,,,,,,,,,,,,,
11,Vasostrict,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,
