,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,lisinopril,,,,,,,,,,,,,,,,,,,
1,Cozaar,,,,,,,,,,,,,,,,,,,
2,losartan,,,,,,,,,,,,,,,,,,,
3,Zestril,,,,,,,,,,,,,,,,,,,
4,Altace,,,,,,,,,,,,,,,,,,,
5,Avapro,,,,,,,,,,,,,,,,,,,
6,Prinivil,,,,,,,,,,,,,,,,,,,
7,ramipril,,,,,,,,,,,,,,,,,,,
8,Vasotec,,,,,,,,,,,,,,,,,,,
9,enalapril,,,,,,,,,,,,,,,,,,,
10,Lotensin,,,,,,,,,,,,,,,,,,,
11,Accupril,,,,,,,,,,,,,,,,,,,
12,benazepril,,,,,,,,,,,,,,,,,,,
13,irbesartan,,,,,,,,,,,,,,,,,,,
14,Monopril,,,,,,,,,,,,,,,,,,,
15,Capoten,,,,,,,,,,,,,,,,,,,
16,Aceon,,,,,,,,,,,,,,,,,,,
17,Mavik,,,,,,,,,,,,,,,,,,,
18,quinapril,,,,,,,,,,,,,,,,,,,
19,captopril,,,,,,,,,,,,,,,,,,,
20,fosinopril,,,,,,,,,,,,,,,,,,,
21,perindopril,,,,,,,,,,,,,,,,,,,
22,Univasc,,,,,,,,,,,,,,,,,,,
23,moexipril,,,,,,,,,,,,,,,,,,,
24,trandolapril,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,
