,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,mannitol,,,,,,,,,,,,,,,,,,,
1,Lexiscan,,,,,,,,,,,,,,,,,,,
2,Aridol,,,,,,,,,,,,,,,,,,,
3,GlucaGen,,,,,,,,,,,,,,,,,,,
4,AdreView,,,,,,,,,,,,,,,,,,,
5,Aplisol,,,,,,,,,,,,,,,,,,,
6,Thyrogen,,,,,,,,,,,,,,,,,,,
7,Amyvid,,,,,,,,,,,,,,,,,,,
8,Lymphoseek,,,,,,,,,,,,,,,,,,,
9,Metopirone,,,,,,,,,,,,,,,,,,,
10,DaTscan,,,,,,,,,,,,,,,,,,,
11,Iodotope,,,,,,,,,,,,,,,,,,,
12,ChiRhoStim,,,,,,,,,,,,,,,,,,,
13,glucagon,,,,,,,,,,,,,,,,,,,
14,Cysview,,,,,,,,,,,,,,,,,,,
15,iobenguane I 123,,,,,,,,,,,,,,,,,,,
16,Lymphazurin,,,,,,,,,,,,,,,,,,,
17,Provocholine,,,,,,,,,,,,,,,,,,,
18,Hicon,,,,,,,,,,,,,,,,,,,
19,Human Secretin,,,,,,,,,,,,,,,,,,,
20,regadenoson,,,,,,,,,,,,,,,,,,,
21,florbetapir F 18,,,,,,,,,,,,,,,,,,,
22,Gastrografin,,,,,,,,,,,,,,,,,,,
23,ioflupane I 123,,,,,,,,,,,,,,,,,,,
24,methacholine,,,,,,,,,,,,,,,,,,,
25,sodium iodide-i-131,,,,,,,,,,,,,,,,,,,
26,tilmanocept,,,,,,,,,,,,,,,,,,,
27,tositumomab,,,,,,,,,,,,,,,,,,,
28,hexaminolevulinate,,,,,,,,,,,,,,,,,,,
29,isosulfan blue,,,,,,,,,,,,,,,,,,,
30,thyrotropin alpha,,,,,,,,,,,,,,,,,,,
31,Hypaque,,,,,,,,,,,,,,,,,,,
32,Lipiodol,,,,,,,,,,,,,,,,,,,
33,Lumason,,,,,,,,,,,,,,,,,,,
34,metyrapone,,,,,,,,,,,,,,,,,,,
35,rose bengal,,,,,,,,,,,,,,,,,,,
36,Tubersol,,,,,,,,,,,,,,,,,,,
37,Cystografin,,,,,,,,,,,,,,,,,,,
38,diatrizoate,,,,,,,,,,,,,,,,,,,
39,Reno-30,,,,,,,,,,,,,,,,,,,
40,Reno-60,,,,,,,,,,,,,,,,,,,
41,Renografin-60,,,,,,,,,,,,,,,,,,,
42,secretin,,,,,,,,,,,,,,,,,,,
43,tetrofosmin,,,,,,,,,,,,,,,,,,,
44,tuberculin purified protein derivative,,,,,,,,,,,,,,,,,,,
45,Axumin,,,,,,,,,,,,,,,,,,,
46,Ceretec,,,,,,,,,,,,,,,,,,,
47,Choletec,,,,,,,,,,,,,,,,,,,
48,Cystografin-Dilute,,,,,,,,,,,,,,,,,,,
49,ethiodized oil,,,,,,,,,,,,,,,,,,,
50,exametazime,,,,,,,,,,,,,,,,,,,
51,fluciclovine F 18,,,,,,,,,,,,,,,,,,,
52,Gadavist,,,,,,,,,,,,,,,,,,,
53,gadobutrol,,,,,,,,,,,,,,,,,,,
54,Hypaque-76,,,,,,,,,,,,,,,,,,,
55,Hypaque Meglumine,,,,,,,,,,,,,,,,,,,
56,IC-Green,,,,,,,,,,,,,,,,,,,
57,indocyanine green,,,,,,,,,,,,,,,,,,,
58,Lipiodol Ultra-Fluide,,,,,,,,,,,,,,,,,,,
59,MD-Gastroview,,,,,,,,,,,,,,,,,,,
60,mebrofenin,,,,,,,,,,,,,,,,,,,
61,Myoview,,,,,,,,,,,,,,,,,,,
62,Reno-Dip,,,,,,,,,,,,,,,,,,,
63,Renocal-76,,,,,,,,,,,,,,,,,,,
64,sulfur hexafluoride,,,,,,,,,,,,,,,,,,,
65,xenon xe-133,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,,,
