,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,loperamide,,,,,,,,,,,,,,,,,,,
1,Imodium,,,,,,,,,,,,,,,,,,,
2,Imodium A-D,,,,,,,,,,,,,,,,,,,
3,Motofen,,,,,,,,,,,,,,,,,,,
4,Anti-Diarrheal,,,,,,,,,,,,,,,,,,,
5,bismuth subsalicylate,,,,,,,,,,,,,,,,,,,
6,colesevelam,,,,,,,,,,,,,,,,,,,
7,Diamode,,,,,,,,,,,,,,,,,,,
8,Imotil,,,,,,,,,,,,,,,,,,,
9,Pepto-Bismol,,,,,,,,,,,,,,,,,,,
10,atropine / difenoxin,,,,,,,,,,,,,,,,,,,
11,Kaopectate,,,,,,,,,,,,,,,,,,,
12,Bismarex,,,,,,,,,,,,,,,,,,,
13,Up and Up Anti-Diarrheal Solution,,,,,,,,,,,,,,,,,,,
14,Kao-Paverin,,,,,,,,,,,,,,,,,,,
15,Maalox Total Relief,,,,,,,,,,,,,,,,,,,
16,Bismatrol,,,,,,,,,,,,,,,,,,,
17,Bismatrol Maximum Strength,,,,,,,,,,,,,,,,,,,
18,Kapectolin (New Formula),,,,,,,,,,,,,,,,,,,
19,Peptic Relief,,,,,,,,,,,,,,,,,,,
20,Pink Bismuth,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,
