,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,loperamide,,,,,,,,,,,,,,,,,,,
1,Imodium,,,,,,,,,,,,,,,,,,,
2,Imodium Multi-Symptom Relief,,,,,,,,,,,,,,,,,,,
3,Imodium A-D,,,,,,,,,,,,,,,,,,,
4,Motofen,,,,,,,,,,,,,,,,,,,
5,Anti-Diarrheal,,,,,,,,,,,,,,,,,,,
6,Imotil,,,,,,,,,,,,,,,,,,,
7,loperamide / simethicone,,,,,,,,,,,,,,,,,,,
8,atropine / difenoxin,,,,,,,,,,,,,,,,,,,
9,Diamode,,,,,,,,,,,,,,,,,,,
10,Kao-Paverin,,,,,,,,,,,,,,,,,,,
11,Up and Up Anti-Diarrheal Solution,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,
