,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,Lomotil,,,,,,,,,,,,,,,,,,,
1,loperamide,,,,,,,,,,,,,,,,,,,
2,Imodium,,,,,,,,,,,,,,,,,,,
3,Anti-Diarrheal,,,,,,,,,,,,,,,,,,,
4,Imodium A-D,,,,,,,,,,,,,,,,,,,
5,atropine / diphenoxylate,,,,,,,,,,,,,,,,,,,
6,Florastor,,,,,,,,,,,,,,,,,,,
7,Kaopectate,,,,,,,,,,,,,,,,,,,
8,Pepto-Bismol,,,,,,,,,,,,,,,,,,,
9,Lonox,,,,,,,,,,,,,,,,,,,
10,Paregoric,,,,,,,,,,,,,,,,,,,
11,Lotronex,,,,,,,,,,,,,,,,,,,
12,Bismatrol,,,,,,,,,,,,,,,,,,,
13,bismuth subsalicylate,,,,,,,,,,,,,,,,,,,
14,codeine,,,,,,,,,,,,,,,,,,,
15,Diamode,,,,,,,,,,,,,,,,,,,
16,saccharomyces boulardii lyo,,,,,,,,,,,,,,,,,,,
17,Imotil,,,,,,,,,,,,,,,,,,,
18,Fulyzaq,,,,,,,,,,,,,,,,,,,
19,Kao-Paverin,,,,,,,,,,,,,,,,,,,
20,rifaximin,,,,,,,,,,,,,,,,,,,
21,Up and Up Anti-Diarrheal Solution,,,,,,,,,,,,,,,,,,,
22,Florastor Kids,,,,,,,,,,,,,,,,,,,
23,neomycin,,,,,,,,,,,,,,,,,,,
24,Lomocot,,,,,,,,,,,,,,,,,,,
25,Maalox Total Relief,,,,,,,,,,,,,,,,,,,
26,Neo-Fradin,,,,,,,,,,,,,,,,,,,
27,Neo-Tab,,,,,,,,,,,,,,,,,,,
28,octreotide,,,,,,,,,,,,,,,,,,,
29,opium,,,,,,,,,,,,,,,,,,,
30,Pink Bismuth,,,,,,,,,,,,,,,,,,,
31,Vi-Atro,,,,,,,,,,,,,,,,,,,
32,alosetron,,,,,,,,,,,,,,,,,,,
33,Bismarex,,,,,,,,,,,,,,,,,,,
34,Bismatrol Maximum Strength,,,,,,,,,,,,,,,,,,,
35,crofelemer,,,,,,,,,,,,,,,,,,,
36,Kapectolin (New Formula),,,,,,,,,,,,,,,,,,,
37,Opium Deodorized,,,,,,,,,,,,,,,,,,,
38,Peptic Relief,,,,,,,,,,,,,,,,,,,
39,atropine / difenoxin,,,,,,,,,,,,,,,,,,,
40,CeraLyte,,,,,,,,,,,,,,,,,,,
41,Electrolyte,,,,,,,,,,,,,,,,,,,
42,electrolyte replacement solutions,,,,,,,,,,,,,,,,,,,
43,Enfalyte,,,,,,,,,,,,,,,,,,,
44,GNP Pediatric Electrolyte,,,,,,,,,,,,,,,,,,,
45,Medi-Lyte,,,,,,,,,,,,,,,,,,,
46,Motofen,,,,,,,,,,,,,,,,,,,
47,Mytesi,,,,,,,,,,,,,,,,,,,
48,Pedialyte,,,,,,,,,,,,,,,,,,,
49,Pedialyte Singles,,,,,,,,,,,,,,,,,,,
50,ReVital,,,,,,,,,,,,,,,,,,,
51,ReVital Squeezers,,,,,,,,,,,,,,,,,,,
52,Saccharomyces Boulardii+MOS,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,,,
