,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,Humatin,,,,,,,,,,,,,,,,,,,
1,Paromycin,,,,,,,,,,,,,,,,,,,
2,paromomycin,,,,,,,,,,,,,,,,,,,
3,Diquinol,,,,,,,,,,,,,,,,,,,
4,iodoquinol,,,,,,,,,,,,,,,,,,,
5,Flagyl,,,,,,,,,,,,,,,,,,,
6,Flagyl 375,,,,,,,,,,,,,,,,,,,
7,Flagyl ER,,,,,,,,,,,,,,,,,,,
8,Flagyl IV,,,,,,,,,,,,,,,,,,,
9,Metro,,,,,,,,,,,,,,,,,,,
10,metronidazole,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,
