,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,metronidazole,,,,,,,,,,,,,,,,,,,
1,Flagyl,,,,,,,,,,,,,,,,,,,
2,ciprofloxacin,,,,,,,,,,,,,,,,,,,
3,Cipro,,,,,,,,,,,,,,,,,,,
4,Bactrim DS,,,,,,,,,,,,,,,,,,,
5,Bactrim,,,,,,,,,,,,,,,,,,,
6,Metro,,,,,,,,,,,,,,,,,,,
7,clindamycin,,,,,,,,,,,,,,,,,,,
8,Cipro I.V.,,,,,,,,,,,,,,,,,,,
9,Flagyl IV,,,,,,,,,,,,,,,,,,,
10,Cleocin,,,,,,,,,,,,,,,,,,,
11,sulfamethoxazole / trimethoprim,,,,,,,,,,,,,,,,,,,
12,Flagyl 375,,,,,,,,,,,,,,,,,,,
13,Cipro XR,,,,,,,,,,,,,,,,,,,
14,Septra,,,,,,,,,,,,,,,,,,,
15,Cleocin HCl,,,,,,,,,,,,,,,,,,,
16,Cleocin Phosphate,,,,,,,,,,,,,,,,,,,
17,Cleocin Pediatric,,,,,,,,,,,,,,,,,,,
18,SMZ-TMP DS,,,,,,,,,,,,,,,,,,,
19,Co-trimoxazole,,,,,,,,,,,,,,,,,,,
20,Septra DS,,,,,,,,,,,,,,,,,,,
21,Sulfatrim,,,,,,,,,,,,,,,,,,,
22,Cotrim,,,,,,,,,,,,,,,,,,,
23,Sulfatrim Pediatric,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,
