,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,furosemide,,,,,,,,,,,,,,,,,,,
1,Lasix,,,,,,,,,,,,,,,,,,,
2,hydrochlorothiazide,,,,,,,,,,,,,,,,,,,
3,Aldactazide,,,,,,,,,,,,,,,,,,,
4,spironolactone,,,,,,,,,,,,,,,,,,,
5,Aldactone,,,,,,,,,,,,,,,,,,,
6,Bumex,,,,,,,,,,,,,,,,,,,
7,Demadex,,,,,,,,,,,,,,,,,,,
8,hydrochlorothiazide / triamterene,,,,,,,,,,,,,,,,,,,
9,bumetanide,,,,,,,,,,,,,,,,,,,
10,metolazone,,,,,,,,,,,,,,,,,,,
11,Dyazide,,,,,,,,,,,,,,,,,,,
12,Maxzide,,,,,,,,,,,,,,,,,,,
13,torsemide,,,,,,,,,,,,,,,,,,,
14,Zaroxolyn,,,,,,,,,,,,,,,,,,,
15,hydrochlorothiazide / spironolactone,,,,,,,,,,,,,,,,,,,
16,Microzide,,,,,,,,,,,,,,,,,,,
17,Esidrix,,,,,,,,,,,,,,,,,,,
18,Diamox,,,,,,,,,,,,,,,,,,,
19,triamterene,,,,,,,,,,,,,,,,,,,
20,Aquazide H,,,,,,,,,,,,,,,,,,,
21,chlorthalidone,,,,,,,,,,,,,,,,,,,
22,Diuril,,,,,,,,,,,,,,,,,,,
23,Dyrenium,,,,,,,,,,,,,,,,,,,
24,Diurex Water Capsules,,,,,,,,,,,,,,,,,,,
25,Edecrin,,,,,,,,,,,,,,,,,,,
26,Lozol,,,,,,,,,,,,,,,,,,,
27,acetazolamide,,,,,,,,,,,,,,,,,,,
28,amiloride,,,,,,,,,,,,,,,,,,,
29,bendroflumethiazide,,,,,,,,,,,,,,,,,,,
30,Diamox Sequels,,,,,,,,,,,,,,,,,,,
31,indapamide,,,,,,,,,,,,,,,,,,,
32,Midamor,,,,,,,,,,,,,,,,,,,
33,Thalitone,,,,,,,,,,,,,,,,,,,
34,chlorothiazide,,,,,,,,,,,,,,,,,,,
35,Mykrox,,,,,,,,,,,,,,,,,,,
36,pamabrom,,,,,,,,,,,,,,,,,,,
37,Aqua-Ban,,,,,,,,,,,,,,,,,,,
38,Aquatensen,,,,,,,,,,,,,,,,,,,
39,Diurex Aquagels,,,,,,,,,,,,,,,,,,,
40,Diuril Sodium,,,,,,,,,,,,,,,,,,,
41,Enduron,,,,,,,,,,,,,,,,,,,
42,ethacrynic acid,,,,,,,,,,,,,,,,,,,
43,methyclothiazide,,,,,,,,,,,,,,,,,,,
44,Naturetin,,,,,,,,,,,,,,,,,,,
45,Saluron,,,,,,,,,,,,,,,,,,,
46,Sodium Edecrin,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,
