,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,ammonium lactate,,,,,,,,,,,,,,,,,,,
1,AmLactin,,,,,,,,,,,,,,,,,,,
2,Eucerin,,,,,,,,,,,,,,,,,,,
3,Aquaphor,,,,,,,,,,,,,,,,,,,
4,Lac-Hydrin,,,,,,,,,,,,,,,,,,,
5,urea,,,,,,,,,,,,,,,,,,,
6,CeraVe,,,,,,,,,,,,,,,,,,,
7,X-Viate,,,,,,,,,,,,,,,,,,,
8,Cetaphil Lotion,,,,,,,,,,,,,,,,,,,
9,emollients,,,,,,,,,,,,,,,,,,,
10,Mederma,,,,,,,,,,,,,,,,,,,
11,Aluvea,,,,,,,,,,,,,,,,,,,
12,Aveeno,,,,,,,,,,,,,,,,,,,
13,Carmol 40,,,,,,,,,,,,,,,,,,,
14,Carmol 20,,,,,,,,,,,,,,,,,,,
15,Hydro 35,,,,,,,,,,,,,,,,,,,
16,Keralac,,,,,,,,,,,,,,,,,,,
17,Lubriderm,,,,,,,,,,,,,,,,,,,
18,Atrac-Tain,,,,,,,,,,,,,,,,,,,
19,Carmol,,,,,,,,,,,,,,,,,,,
20,Gormel,,,,,,,,,,,,,,,,,,,
21,Kerafoam,,,,,,,,,,,,,,,,,,,
22,Kerol,,,,,,,,,,,,,,,,,,,
23,Laclotion,,,,,,,,,,,,,,,,,,,
24,Rea Lo 40,,,,,,,,,,,,,,,,,,,
25,Umecta PD,,,,,,,,,,,,,,,,,,,
26,Uramaxin,,,,,,,,,,,,,,,,,,,
27,Ureacin-10,,,,,,,,,,,,,,,,,,,
28,Aqua Care,,,,,,,,,,,,,,,,,,,
29,Aquaphilic with Urea,,,,,,,,,,,,,,,,,,,
30,Carb-O-Philic / 10,,,,,,,,,,,,,,,,,,,
31,CEM-Urea,,,,,,,,,,,,,,,,,,,
32,Cerovel,,,,,,,,,,,,,,,,,,,
33,Epimide 50,,,,,,,,,,,,,,,,,,,
34,Gordons Urea,,,,,,,,,,,,,,,,,,,
35,Hydro 40 Foam,,,,,,,,,,,,,,,,,,,
36,Keralac Nailstik,,,,,,,,,,,,,,,,,,,
37,Keratol 45,,,,,,,,,,,,,,,,,,,
38,Kerol AD,,,,,,,,,,,,,,,,,,,
39,Kerol Redi-Cloths,,,,,,,,,,,,,,,,,,,
40,Latrix,,,,,,,,,,,,,,,,,,,
41,Nutraplus,,,,,,,,,,,,,,,,,,,
42,RE-U40,,,,,,,,,,,,,,,,,,,
43,Rea Lo 39,,,,,,,,,,,,,,,,,,,
44,Remeven,,,,,,,,,,,,,,,,,,,
45,Rinnovi Nail System,,,,,,,,,,,,,,,,,,,
