,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,ranitidine,,,,,,,,,,,,,,,,,,,
1,Nexium,,,,,,,,,,,,,,,,,,,
2,sucralfate,,,,,,,,,,,,,,,,,,,
3,Carafate,,,,,,,,,,,,,,,,,,,
4,esomeprazole,,,,,,,,,,,,,,,,,,,
5,Zantac,,,,,,,,,,,,,,,,,,,
6,famotidine,,,,,,,,,,,,,,,,,,,
7,Zantac 150,,,,,,,,,,,,,,,,,,,
8,Pepcid,,,,,,,,,,,,,,,,,,,
9,Heartburn Relief,,,,,,,,,,,,,,,,,,,
10,Prevacid,,,,,,,,,,,,,,,,,,,
11,Zantac 300,,,,,,,,,,,,,,,,,,,
12,Deprizine,,,,,,,,,,,,,,,,,,,
13,Prevacid OTC,,,,,,,,,,,,,,,,,,,
14,Aciphex,,,,,,,,,,,,,,,,,,,
15,lansoprazole,,,,,,,,,,,,,,,,,,,
16,Zantac 75,,,,,,,,,,,,,,,,,,,
17,Nexium IV,,,,,,,,,,,,,,,,,,,
18,Pepcid AC,,,,,,,,,,,,,,,,,,,
19,Pepcid AC Maximum Strength Tablets,,,,,,,,,,,,,,,,,,,
20,rabeprazole,,,,,,,,,,,,,,,,,,,
21,Tagamet,,,,,,,,,,,,,,,,,,,
22,Prevacid SoluTab,,,,,,,,,,,,,,,,,,,
23,Acid Controller Original Strength,,,,,,,,,,,,,,,,,,,
24,Berkley and Jensen Acid Reducer Maximum Strength,,,,,,,,,,,,,,,,,,,
25,Careone Acid Reducer,,,,,,,,,,,,,,,,,,,
26,Equaline Heartburn Relief,,,,,,,,,,,,,,,,,,,
27,Pepcid Oral Suspension,,,,,,,,,,,,,,,,,,,
28,Sunmark Acid Reducer Maximum Strength,,,,,,,,,,,,,,,,,,,
29,Taladine,,,,,,,,,,,,,,,,,,,
30,Zantac 25 mg EFFERdose,,,,,,,,,,,,,,,,,,,
31,Zantac 150 EFFERdose,,,,,,,,,,,,,,,,,,,
32,Zantac EFFERdose,,,,,,,,,,,,,,,,,,,
33,Pepcid AC Chewable Tablets,,,,,,,,,,,,,,,,,,,
34,Pepcid AC Maximum Strength,,,,,,,,,,,,,,,,,,,
35,cimetidine,,,,,,,,,,,,,,,,,,,
36,nizatidine,,,,,,,,,,,,,,,,,,,
37,Tagamet HB,,,,,,,,,,,,,,,,,,,
38,Prevacid IV,,,,,,,,,,,,,,,,,,,
39,Equaline Acid Reducer,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,
