,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,omeprazole,,,,,,,,,,,,,,,,,,,
1,Carafate,,,,,,,,,,,,,,,,,,,
2,Aciphex,,,,,,,,,,,,,,,,,,,
3,Prilosec,,,,,,,,,,,,,,,,,,,
4,Protonix,,,,,,,,,,,,,,,,,,,
5,pantoprazole,,,,,,,,,,,,,,,,,,,
6,ranitidine,,,,,,,,,,,,,,,,,,,
7,sucralfate,,,,,,,,,,,,,,,,,,,
8,Zantac,,,,,,,,,,,,,,,,,,,
9,Zantac 150,,,,,,,,,,,,,,,,,,,
10,Pepcid,,,,,,,,,,,,,,,,,,,
11,Donnatal,,,,,,,,,,,,,,,,,,,
12,Prevacid,,,,,,,,,,,,,,,,,,,
13,rabeprazole,,,,,,,,,,,,,,,,,,,
14,Tagamet,,,,,,,,,,,,,,,,,,,
15,Cytotec,,,,,,,,,,,,,,,,,,,
16,famotidine,,,,,,,,,,,,,,,,,,,
17,lansoprazole,,,,,,,,,,,,,,,,,,,
18,Antispasmodic,,,,,,,,,,,,,,,,,,,
19,Pepcid AC,,,,,,,,,,,,,,,,,,,
20,Prevacid SoluTab,,,,,,,,,,,,,,,,,,,
21,atropine / hyoscyamine / phenobarbital / scopolamine,,,,,,,,,,,,,,,,,,,
22,Maalox Regular Strength,,,,,,,,,,,,,,,,,,,
23,Protonix IV,,,,,,,,,,,,,,,,,,,
24,Zantac 300,,,,,,,,,,,,,,,,,,,
25,Zantac 75,,,,,,,,,,,,,,,,,,,
26,Deprizine,,,,,,,,,,,,,,,,,,,
27,misoprostol,,,,,,,,,,,,,,,,,,,
28,omeprazole / sodium bicarbonate,,,,,,,,,,,,,,,,,,,
29,Tums Regular Strength,,,,,,,,,,,,,,,,,,,
30,Zegerid,,,,,,,,,,,,,,,,,,,
31,Acid Controller Maximum Strength,,,,,,,,,,,,,,,,,,,
32,Acid Controller Original Strength,,,,,,,,,,,,,,,,,,,
33,Berkley and Jensen Acid Reducer Maximum Strength,,,,,,,,,,,,,,,,,,,
34,calcium carbonate,,,,,,,,,,,,,,,,,,,
35,Careone Acid Reducer,,,,,,,,,,,,,,,,,,,
36,cimetidine,,,,,,,,,,,,,,,,,,,
37,Equaline Heartburn Relief,,,,,,,,,,,,,,,,,,,
38,Heartburn Relief,,,,,,,,,,,,,,,,,,,
39,magnesium oxide,,,,,,,,,,,,,,,,,,,
40,Pepcid AC Chewable Tablets,,,,,,,,,,,,,,,,,,,
41,Pepcid AC Maximum Strength,,,,,,,,,,,,,,,,,,,
42,Pepcid AC Maximum Strength Tablets,,,,,,,,,,,,,,,,,,,
43,Pepcid Oral Suspension,,,,,,,,,,,,,,,,,,,
44,Sunmark Acid Reducer Maximum Strength,,,,,,,,,,,,,,,,,,,
45,Taladine,,,,,,,,,,,,,,,,,,,
46,Zantac 25 mg EFFERdose,,,,,,,,,,,,,,,,,,,
47,Zantac 150 EFFERdose,,,,,,,,,,,,,,,,,,,
48,Zantac EFFERdose,,,,,,,,,,,,,,,,,,,
49,aluminum hydroxide / magnesium hydroxide,,,,,,,,,,,,,,,,,,,
50,aluminum hydroxide,,,,,,,,,,,,,,,,,,,
51,Mag-Ox 400,,,,,,,,,,,,,,,,,,,
52,nizatidine,,,,,,,,,,,,,,,,,,,
53,Alcalak,,,,,,,,,,,,,,,,,,,
54,Ami-Lac,,,,,,,,,,,,,,,,,,,
55,Cal-Gest,,,,,,,,,,,,,,,,,,,
56,Calcium Oyster Shell,,,,,,,,,,,,,,,,,,,
57,Icar Prenatal Chewable Calcium,,,,,,,,,,,,,,,,,,,
58,Mag-200,,,,,,,,,,,,,,,,,,,
59,Mag-Caps,,,,,,,,,,,,,,,,,,,
60,Mag-Ox,,,,,,,,,,,,,,,,,,,
61,MagGel,,,,,,,,,,,,,,,,,,,
62,Oysco 500,,,,,,,,,,,,,,,,,,,
63,Oyster Calcium,,,,,,,,,,,,,,,,,,,
64,Oyster Shell Calcium 500,,,,,,,,,,,,,,,,,,,
65,Pepto Children's,,,,,,,,,,,,,,,,,,,
66,Prevacid IV,,,,,,,,,,,,,,,,,,,
67,Prevacid OTC,,,,,,,,,,,,,,,,,,,
68,Titralac,,,,,,,,,,,,,,,,,,,
69,Tums Kids,,,,,,,,,,,,,,,,,,,
70,Uro-Mag,,,,,,,,,,,,,,,,,,,
71,Alamag,,,,,,,,,,,,,,,,,,,
72,Alkabel-SR,,,,,,,,,,,,,,,,,,,
73,Alternagel,,,,,,,,,,,,,,,,,,,
74,Bellatal,,,,,,,,,,,,,,,,,,,
75,D-Tal,,,,,,,,,,,,,,,,,,,
76,Donnatal Extentabs,,,,,,,,,,,,,,,,,,,
77,Equaline Acid Reducer,,,,,,,,,,,,,,,,,,,
78,Hyosophen,,,,,,,,,,,,,,,,,,,
79,PB-Hyos,,,,,,,,,,,,,,,,,,,
80,Phenohytro,,,,,,,,,,,,,,,,,,,
81,RE-PB Hyos Elixir,,,,,,,,,,,,,,,,,,,
82,Servira,,,,,,,,,,,,,,,,,,,
83,Tagamet HB,,,,,,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,,,,,,,
