,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,Pyridium,,,,,,,,,,,,,,,,,,,
1,phenazopyridine,,,,,,,,,,,,,,,,,,,
2,oxybutynin,,,,,,,,,,,,,,,,,,,
3,Ditropan,,,,,,,,,,,,,,,,,,,
4,Azo Urinary Pain Relief,,,,,,,,,,,,,,,,,,,
5,Urispas,,,,,,,,,,,,,,,,,,,
6,Azo-Standard,,,,,,,,,,,,,,,,,,,
7,Ditropan XL,,,,,,,,,,,,,,,,,,,
8,Uricalm,,,,,,,,,,,,,,,,,,,
9,Uristat,,,,,,,,,,,,,,,,,,,
10,flavoxate,,,,,,,,,,,,,,,,,,,
11,Oxytrol,,,,,,,,,,,,,,,,,,,
12,Gelnique,,,,,,,,,,,,,,,,,,,
13,Azo-Gesic,,,,,,,,,,,,,,,,,,,
14,Azo-Septic,,,,,,,,,,,,,,,,,,,
15,Baridium,,,,,,,,,,,,,,,,,,,
16,Prodium,,,,,,,,,,,,,,,,,,,
17,Pyridiate,,,,,,,,,,,,,,,,,,,
18,Re-Azo,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,
