,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,Cipro,,,,,,,,,,,,,,,,,,,
1,ciprofloxacin,,,,,,,,,,,,,,,,,,,
2,Xifaxan,,,,,,,,,,,,,,,,,,,
3,Imodium,,,,,,,,,,,,,,,,,,,
4,loperamide,,,,,,,,,,,,,,,,,,,
5,rifaximin,,,,,,,,,,,,,,,,,,,
6,Anti-Diarrheal,,,,,,,,,,,,,,,,,,,
7,Imodium A-D,,,,,,,,,,,,,,,,,,,
8,Bactrim,,,,,,,,,,,,,,,,,,,
9,sulfamethoxazole / trimethoprim,,,,,,,,,,,,,,,,,,,
10,Bactrim DS,,,,,,,,,,,,,,,,,,,
11,Sulfatrim,,,,,,,,,,,,,,,,,,,
12,ofloxacin,,,,,,,,,,,,,,,,,,,
13,Cipro I.V.,,,,,,,,,,,,,,,,,,,
14,Cipro XR,,,,,,,,,,,,,,,,,,,
15,Septra DS,,,,,,,,,,,,,,,,,,,
16,Co-trimoxazole,,,,,,,,,,,,,,,,,,,
17,Floxin,,,,,,,,,,,,,,,,,,,
18,Cotrim,,,,,,,,,,,,,,,,,,,
19,Septra,,,,,,,,,,,,,,,,,,,
20,SMZ-TMP DS,,,,,,,,,,,,,,,,,,,
21,Diamode,,,,,,,,,,,,,,,,,,,
22,Imotil,,,,,,,,,,,,,,,,,,,
23,Kao-Paverin,,,,,,,,,,,,,,,,,,,
24,Sulfatrim Pediatric,,,,,,,,,,,,,,,,,,,
25,Up and Up Anti-Diarrheal Solution,,,,,,,,,,,,,,,,,,,
26,Bismarex,,,,,,,,,,,,,,,,,,,
27,Bismatrol,,,,,,,,,,,,,,,,,,,
28,Bismatrol Maximum Strength,,,,,,,,,,,,,,,,,,,
29,bismuth subsalicylate,,,,,,,,,,,,,,,,,,,
30,Kaopectate,,,,,,,,,,,,,,,,,,,
31,Kapectolin (New Formula),,,,,,,,,,,,,,,,,,,
32,Kola-Pectin DS,,,,,,,,,,,,,,,,,,,
33,Maalox Total Relief,,,,,,,,,,,,,,,,,,,
34,Peptic Relief,,,,,,,,,,,,,,,,,,,
35,Pepto-Bismol,,,,,,,,,,,,,,,,,,,
36,Pink Bismuth,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,
