,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,Megace,,,,,,,,,,,,,,,,,,,
1,megestrol,,,,,,,,,,,,,,,,,,,
2,Provera,,,,,,,,,,,,,,,,,,,
3,anastrozole,,,,,,,,,,,,,,,,,,,
4,medroxyprogesterone,,,,,,,,,,,,,,,,,,,
5,Depo-Provera,,,,,,,,,,,,,,,,,,,
6,Megace ES,,,,,,,,,,,,,,,,,,,
7,depo-subQ provera 104,,,,,,,,,,,,,,,,,,,
8,cyclophosphamide,,,,,,,,,,,,,,,,,,,
9,Depo-Provera Contraceptive,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,
